v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,solving_time
1,1,1,322.0,1168.0,122185.5116335532,443207.07325462776,0.2756849315068493,0.2756849315068493,7,0,1,32.0,4020,672,3348,0.12041884816753923,0.24321880650994576,0,379.4581106632087,32.0,7,12,True,"{np.int64(0): np.int64(23), np.int64(1): np.int64(24), np.int64(2): np.int64(26), np.int64(3): np.int64(17), np.int64(4): np.int64(18), np.int64(5): np.int64(15), np.int64(6): np.int64(25)}","{(0, 1): [(np.int64(23), 7), (7, 3), (3, 8), (8, 24)], (0, 4): [(np.int64(23), 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 18)], (0, 5): [(np.int64(23), 7), (7, 15)], (0, 6): [(np.int64(23), 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, 25)], (1, 4): [(np.int64(24), 8), (8, 3), (3, 1), (1, 4), (4, 10), (10, 18)], (1, 5): [(np.int64(24), 8), (8, 3), (3, 7), (7, 15)], (2, 3): [(np.int64(26), 10), (10, 4), (4, 9), (9, 17)], (2, 5): [(np.int64(26), 10), (10, 4), (4, 1), (1, 3), (3, 7), (7, 15)], (2, 6): [(np.int64(26), 10), (10, 4), (4, 9), (9, 25)], (3, 5): [(np.int64(17), 9), (9, 4), (4, 1), (1, 3), (3, 7), (7, 15)], (4, 6): [(np.int64(18), 10), (10, 4), (4, 9), (9, 25)], (5, 6): [(np.int64(15), 7), (7, 3), (3, 1), (1, 4), (4, 9), (9, 25)]}","{(np.int64(0), np.int64(23)): {'cpu': 14}, (np.int64(1), np.int64(24)): {'cpu': 17}, (np.int64(2), np.int64(26)): {'cpu': 20}, (np.int64(3), np.int64(17)): {'cpu': 15}, (np.int64(4), np.int64(18)): {'cpu': 3}, (np.int64(5), np.int64(15)): {'cpu': 9}, (np.int64(6), np.int64(25)): {'cpu': 14}}","{((0, 1), (np.int64(23), 7)): {'bw': 20}, ((0, 1), (7, 3)): {'bw': 20}, ((0, 1), (3, 8)): {'bw': 20}, ((0, 1), (8, 24)): {'bw': 20}, ((0, 4), (np.int64(23), 7)): {'bw': 2}, ((0, 4), (7, 3)): {'bw': 2}, ((0, 4), (3, 1)): {'bw': 2}, ((0, 4), (1, 4)): {'bw': 2}, ((0, 4), (4, 10)): {'bw': 2}, ((0, 4), (10, 18)): {'bw': 2}, ((0, 5), (np.int64(23), 7)): {'bw': 30}, ((0, 5), (7, 15)): {'bw': 30}, ((0, 6), (np.int64(23), 7)): {'bw': 12}, ((0, 6), (7, 3)): {'bw': 12}, ((0, 6), (3, 1)): {'bw': 12}, ((0, 6), (1, 4)): {'bw': 12}, ((0, 6), (4, 9)): {'bw': 12}, ((0, 6), (9, 25)): {'bw': 12}, ((1, 4), (np.int64(24), 8)): {'bw': 25}, ((1, 4), (8, 3)): {'bw': 25}, ((1, 4), (3, 1)): {'bw': 25}, ((1, 4), (1, 4)): {'bw': 25}, ((1, 4), (4, 10)): {'bw': 25}, ((1, 4), (10, 18)): {'bw': 25}, ((1, 5), (np.int64(24), 8)): {'bw': 0}, ((1, 5), (8, 3)): {'bw': 0}, ((1, 5), (3, 7)): {'bw': 0}, ((1, 5), (7, 15)): {'bw': 0}, ((2, 3), (np.int64(26), 10)): {'bw': 33}, ((2, 3), (10, 4)): {'bw': 33}, ((2, 3), (4, 9)): {'bw': 33}, ((2, 3), (9, 17)): {'bw': 33}, ((2, 5), (np.int64(26), 10)): {'bw': 34}, ((2, 5), (10, 4)): {'bw': 34}, ((2, 5), (4, 1)): {'bw': 34}, ((2, 5), (1, 3)): {'bw': 34}, ((2, 5), (3, 7)): {'bw': 34}, ((2, 5), (7, 15)): {'bw': 34}, ((2, 6), (np.int64(26), 10)): {'bw': 13}, ((2, 6), (10, 4)): {'bw': 13}, ((2, 6), (4, 9)): {'bw': 13}, ((2, 6), (9, 25)): {'bw': 13}, ((3, 5), (np.int64(17), 9)): {'bw': 11}, ((3, 5), (9, 4)): {'bw': 11}, ((3, 5), (4, 1)): {'bw': 11}, ((3, 5), (1, 3)): {'bw': 11}, ((3, 5), (3, 7)): {'bw': 11}, ((3, 5), (7, 15)): {'bw': 11}, ((4, 6), (np.int64(18), 10)): {'bw': 26}, ((4, 6), (10, 4)): {'bw': 26}, ((4, 6), (4, 9)): {'bw': 26}, ((4, 6), (9, 25)): {'bw': 26}, ((5, 6), (np.int64(15), 7)): {'bw': 24}, ((5, 6), (7, 3)): {'bw': 24}, ((5, 6), (3, 1)): {'bw': 24}, ((5, 6), (1, 4)): {'bw': 24}, ((5, 6), (4, 9)): {'bw': 24}, ((5, 6), (9, 25)): {'bw': 24}}",1168.0,322.0,644.0,92.0,230.0,92.0,230.0,92.0,1076.0,846.0,0.2756849315068493,443207.07325462776,122185.5116335532,104.61088324790514,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -27}, np.int64(1): {'cpu': -41}, np.int64(2): {'cpu': -38}, np.int64(3): {'cpu': -33}, np.int64(4): {'cpu': -47}, np.int64(5): {'cpu': -27}, np.int64(6): {'cpu': -26}}, 'link_level': {(0, 1): {'bw': -87}, (0, 4): {'bw': -87}, (0, 5): {'bw': -129}, (0, 6): {'bw': -75}, (1, 4): {'bw': -62}, (1, 5): {'bw': -62}, (2, 3): {'bw': -80}, (2, 5): {'bw': -41}, (2, 6): {'bw': -50}, (3, 5): {'bw': -30}, (4, 6): {'bw': -28}, (5, 6): {'bw': -6}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (4, 6): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (4, 6): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (4, 6): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,12.0,0.272216796875
2,1,1,322.0,1168.0,122185.5116335532,443207.07325462776,0.2756849315068493,0.2756849315068493,7,1,1,58.0,4020,672,3348,0.12041884816753923,0.24321880650994576,1,57.894051446014565,58.0,10,24,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,238.0,119.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,0.06957173347473145
3,1,1,322.0,1168.0,122185.5116335532,443207.07325462776,0.2756849315068493,0.2756849315068493,7,2,1,80.0,4020,672,3348,0.12041884816753923,0.24321880650994576,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,210.0,105.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.09626984596252441
4,2,2,379.0,1267.0,142445.61946306704,478395.6815900991,0.2991318074191002,0.29775690907075925,7,3,1,110.0,3921,657,3264,0.14005235602094246,0.26220614828209765,3,355.44048823708476,110.0,2,1,True,"{np.int64(0): np.int64(23), np.int64(1): np.int64(15)}","{(0, 1): [(np.int64(23), 7), (7, 15)]}","{(np.int64(0), np.int64(23)): {'cpu': 2}, (np.int64(1), np.int64(15)): {'cpu': 13}}","{((0, 1), (np.int64(23), 7)): {'bw': 42}, ((0, 1), (7, 15)): {'bw': 42}}",99.0,57.0,45.0,15.0,42.0,15.0,42.0,15.0,84.0,42.0,0.5757575757575758,35188.60833547139,20260.107829513832,204.64755383347307,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -25}, np.int64(1): {'cpu': -14}}, 'link_level': {(0, 1): {'bw': -19}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0.053472042083740234
4,2,2,379.0,1267.0,142445.61946306704,478395.6815900991,0.2991318074191002,0.29775690907075925,7,4,0,115.89405144601457,3921,657,3264,0.14005235602094246,0.26220614828209765,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
5,3,3,442.0,1375.0,150096.9785292221,491512.29713207926,0.32145454545454544,0.30537787030969854,9,5,1,135.0,3813,639,3174,0.16361256544502623,0.28254972875226037,4,121.45014390722343,135.0,2,1,True,"{np.int64(0): np.int64(21), np.int64(1): np.int64(29)}","{(0, 1): [(np.int64(21), 13), (13, 29)]}","{(np.int64(0), np.int64(21)): {'cpu': 17}, (np.int64(1), np.int64(29)): {'cpu': 1}}","{((0, 1), (np.int64(21), 13)): {'bw': 45}, ((0, 1), (13, 29)): {'bw': 45}}",108.0,63.0,54.0,18.0,45.0,18.0,45.0,18.0,90.0,45.0,0.5833333333333334,13116.61554198013,7651.359066155076,70.84591727921368,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -31}, np.int64(1): {'cpu': -47}}, 'link_level': {(0, 1): {'bw': -104}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0.05573296546936035
5,3,3,442.0,1375.0,150096.9785292221,491512.29713207926,0.32145454545454544,0.30537787030969854,9,6,0,158.931215088619,3813,639,3174,0.16361256544502623,0.28254972875226037,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
6,4,4,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,7,1,161.0,3650,606,3044,0.2068062827225131,0.3119349005424955,5,1241.1173299335453,161.0,3,2,True,"{np.int64(0): np.int64(28), np.int64(1): np.int64(27), np.int64(2): np.int64(20)}","{(0, 2): [(np.int64(28), 12), (12, 20)], (1, 2): [(np.int64(27), 11), (11, 5), (5, 12), (12, np.int64(20))]}","{(np.int64(0), np.int64(28)): {'cpu': 15}, (np.int64(1), np.int64(27)): {'cpu': 17}, (np.int64(2), np.int64(20)): {'cpu': 1}}","{((0, 2), (np.int64(28), 12)): {'bw': 43}, ((0, 2), (12, 20)): {'bw': 43}, ((1, 2), (np.int64(27), 11)): {'bw': 11}, ((1, 2), (11, 5)): {'bw': 11}, ((1, 2), (5, 12)): {'bw': 11}, ((1, 2), (12, np.int64(20))): {'bw': 11}}",163.0,87.0,99.0,33.0,54.0,33.0,54.0,33.0,130.0,76.0,0.5337423312883436,202302.12477916788,107977.20770421844,662.4368570810948,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -29}, np.int64(1): {'cpu': -42}, np.int64(2): {'cpu': -34}}, 'link_level': {(0, 2): {'bw': -78}, (1, 2): {'bw': -92}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,0.06865596771240234
7,4,4,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,8,1,186.0,3650,606,3044,0.2068062827225131,0.3119349005424955,6,310.0901200761372,186.0,9,19,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,174.0,87.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,0.0,0.09500789642333984
8,4,4,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,9,1,207.0,3650,606,3044,0.2068062827225131,0.3119349005424955,7,70.93576580993681,207.0,8,16,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1}",{},{},{},0.0,0.0,196.0,98.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.0,0.0,0.07478713989257812
9,4,4,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,10,1,241.0,3650,606,3044,0.2068062827225131,0.3119349005424955,8,722.4738821356901,241.0,4,3,False,{},{},{},{},0.0,0.0,50.0,25.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.12063932418823242
9,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,11,0,256.45014390722343,3758,624,3134,0.18324607329842935,0.2915913200723327,4,121.45014390722343,135.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
10,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,12,1,273.0,3758,624,3134,0.18324607329842935,0.2915913200723327,9,119.59435591614479,273.0,6,7,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1}",{},{},{},0.0,0.0,154.0,77.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.0,0.0,0.09475398063659668
10,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,13,0,277.9357658099368,3758,624,3134,0.18324607329842935,0.2915913200723327,7,70.93576580993681,207.0,8,16,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
11,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,14,1,301.0,3758,624,3134,0.18324607329842935,0.2915913200723327,10,38.58008449379743,301.0,7,12,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1}",{},{},{},0.0,0.0,122.0,61.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,0.0,0.1073751449584961
12,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,15,1,326.0,3758,624,3134,0.18324607329842935,0.2915913200723327,11,50.14185036304853,326.0,4,3,False,{},{},{},{},0.0,0.0,50.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.0895237922668457
12,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,16,0,339.5800844937974,3758,624,3134,0.18324607329842935,0.2915913200723327,10,38.58008449379743,301.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
13,4,3,529.0,1538.0,258074.18623344053,693814.4219112471,0.3439531859557867,0.37196428624606115,12,17,1,343.0,3758,624,3134,0.18324607329842935,0.2915913200723327,12,88.49122382095761,343.0,6,6,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1}",{},{},{},0.0,0.0,126.0,63.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.0,0.0,0.08836102485656738
14,5,4,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,18,1,368.0,3570,572,2998,0.25130890052356025,0.32233273056057865,13,220.3884061948887,368.0,4,4,True,"{np.int64(0): np.int64(22), np.int64(1): np.int64(21), np.int64(2): np.int64(30), np.int64(3): np.int64(29)}","{(0, 1): [(np.int64(22), 14), (14, 6), (6, 13), (13, np.int64(21))], (0, 3): [(np.int64(22), 14), (14, 6), (6, 13), (13, np.int64(29))], (1, 2): [(np.int64(21), 13), (13, 6), (6, 14), (14, np.int64(30))], (1, 3): [(np.int64(21), 13), (13, 29)]}","{(np.int64(0), np.int64(22)): {'cpu': 17}, (np.int64(1), np.int64(21)): {'cpu': 18}, (np.int64(2), np.int64(30)): {'cpu': 10}, (np.int64(3), np.int64(29)): {'cpu': 7}}","{((0, 1), (np.int64(22), 14)): {'bw': 6}, ((0, 1), (14, 6)): {'bw': 6}, ((0, 1), (6, 13)): {'bw': 6}, ((0, 1), (13, np.int64(21))): {'bw': 6}, ((0, 3), (np.int64(22), 14)): {'bw': 7}, ((0, 3), (14, 6)): {'bw': 7}, ((0, 3), (6, 13)): {'bw': 7}, ((0, 3), (13, np.int64(29))): {'bw': 7}, ((1, 2), (np.int64(21), 13)): {'bw': 15}, ((1, 2), (13, 6)): {'bw': 15}, ((1, 2), (6, 14)): {'bw': 15}, ((1, 2), (14, np.int64(30))): {'bw': 15}, ((1, 3), (np.int64(21), 13)): {'bw': 12}, ((1, 3), (13, 29)): {'bw': 12}}",188.0,92.0,156.0,52.0,40.0,52.0,40.0,52.0,136.0,96.0,0.48936170212765956,41433.02036463907,20275.73336992976,107.84964558473276,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -33}, np.int64(1): {'cpu': -30}, np.int64(2): {'cpu': -24}, np.int64(3): {'cpu': -41}}, 'link_level': {(0, 1): {'bw': -94}, (0, 3): {'bw': -87}, (1, 2): {'bw': -72}, (1, 3): {'bw': -116}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 2): {}, (1, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,4.0,0.13444876670837402
14,5,4,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,19,0,376.14185036304855,3570,572,2998,0.25130890052356025,0.32233273056057865,11,50.14185036304853,326.0,4,3,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
14,5,4,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,20,0,392.59435591614476,3570,572,2998,0.25130890052356025,0.32233273056057865,9,119.59435591614479,273.0,6,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
15,5,4,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,21,1,401.0,3570,572,2998,0.25130890052356025,0.32233273056057865,14,50.0802576955217,401.0,6,7,False,{},{},{},{},0.0,0.0,118.0,59.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0.1439359188079834
15,5,3,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,22,0,411.4581106632087,4738,664,4074,0.13089005235602091,0.07911392405063289,0,379.4581106632087,32.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
16,5,3,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,23,1,430.0,4738,664,4074,0.13089005235602091,0.07911392405063289,15,77.31214957774891,430.0,9,21,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,208.0,104.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,0.0,0.1611788272857666
16,5,3,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,24,0,431.4912238209576,4738,664,4074,0.13089005235602091,0.07911392405063289,12,88.49122382095761,343.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
16,5,3,621.0,1726.0,278349.9196033703,735247.4422758862,0.35979142526071844,0.3785799223479996,14,25,0,451.0802576955217,4738,664,4074,0.13089005235602091,0.07911392405063289,14,50.0802576955217,401.0,6,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
