v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,1,1,70.0,111.0,2614.3540754858614,4145.618605413294,0.6306306306306306,0.6306306306306307,3,0,1,43.0,16172,2590,13582,0.006901840490797562,0.006800731261425996,0,37.34791536408373,43.0,3,3,True,"{np.int64(0): np.int64(17), np.int64(1): np.int64(13), np.int64(2): np.int64(3)}","{(0, 1): [(np.int64(17), 14), (14, 13)], (0, 2): [(np.int64(17), 14), (14, 13), (13, np.int64(3))], (1, 2): [(np.int64(13), 3)]}","{(np.int64(0), np.int64(17)): {'cpu': 3}, (np.int64(1), np.int64(13)): {'cpu': 4}, (np.int64(2), np.int64(3)): {'cpu': 11}}","{((0, 1), (np.int64(17), 14)): {'bw': 27}, ((0, 1), (14, 13)): {'bw': 27}, ((0, 2), (np.int64(17), 14)): {'bw': 7}, ((0, 2), (14, 13)): {'bw': 7}, ((0, 2), (13, np.int64(3))): {'bw': 7}, ((1, 2), (np.int64(13), 3)): {'bw': 18}}",111.0,70.0,126.0,18.0,52.0,18.0,52.0,18.0,93.0,41.0,0.6306306306306306,4145.618605413294,2614.3540754858614,23.552739418791543,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -67}, np.int64(1): {'cpu': -91}, np.int64(2): {'cpu': -47}}, 'link_level': {(0, 1): {'bw': -249}, (0, 2): {'bw': -242}, (1, 2): {'bw': -296}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,3.0,1
1,1,0,70.0,111.0,2614.3540754858614,4145.618605413294,0.6306306306306306,0.6306306306306307,3,1,0,80.34791536408373,16283,2608,13675,0.0,0.0,0,37.34791536408373,43.0,3,3,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,1
2,2,1,182.0,276.0,194115.1242204562,286267.2889082714,0.6594202898550725,0.678090483061292,8,2,1,98.0,16118,2595,13523,0.004984662576687171,0.011115173674588696,1,1709.8283048658066,98.0,5,5,True,"{np.int64(0): np.int64(21), np.int64(1): np.int64(15), np.int64(2): np.int64(29), np.int64(3): np.int64(2), np.int64(4): np.int64(23)}","{(0, 3): [(np.int64(21), 2)], (0, 4): [(np.int64(21), 23)], (1, 3): [(np.int64(15), 13), (13, np.int64(2))], (2, 3): [(np.int64(29), 2)], (2, 4): [(np.int64(29), 2), (2, 21), (21, np.int64(23))]}","{(np.int64(0), np.int64(21)): {'cpu': 2}, (np.int64(1), np.int64(15)): {'cpu': 6}, (np.int64(2), np.int64(29)): {'cpu': 1}, (np.int64(3), np.int64(2)): {'cpu': 2}, (np.int64(4), np.int64(23)): {'cpu': 2}}","{((0, 3), (np.int64(21), 2)): {'bw': 17}, ((0, 4), (np.int64(21), 23)): {'bw': 21}, ((1, 3), (np.int64(15), 13)): {'bw': 11}, ((1, 3), (13, np.int64(2))): {'bw': 11}, ((2, 3), (np.int64(29), 2)): {'bw': 29}, ((2, 4), (np.int64(29), 2)): {'bw': 21}, ((2, 4), (2, 21)): {'bw': 21}, ((2, 4), (21, np.int64(23))): {'bw': 21}}",165.0,112.0,91.0,13.0,99.0,13.0,99.0,13.0,152.0,53.0,0.6787878787878788,282121.6703028581,191500.77014497033,1160.6107281513355,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -59}, np.int64(1): {'cpu': -69}, np.int64(2): {'cpu': -72}, np.int64(3): {'cpu': -60}, np.int64(4): {'cpu': -76}}, 'link_level': {(0, 3): {'bw': -324}, (0, 4): {'bw': -375}, (1, 3): {'bw': -197}, (2, 3): {'bw': -286}, (2, 4): {'bw': -265}}, 'path_level': {(0, 3): {}, (0, 4): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (1, 3): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,1
3,3,2,206.0,300.0,204189.8714427292,296342.0361305444,0.6866666666666666,0.6890344485342593,10,3,1,159.0,16094,2582,13512,0.009969325153374231,0.011919561243144416,2,419.7811342613749,159.0,2,1,True,"{np.int64(0): np.int64(1), np.int64(1): np.int64(28)}","{(0, 1): [(np.int64(1), 28)]}","{(np.int64(0), np.int64(1)): {'cpu': 11}, (np.int64(1), np.int64(28)): {'cpu': 2}}","{((0, 1), (np.int64(1), 28)): {'bw': 11}}",24.0,24.0,104.0,13.0,11.0,13.0,11.0,13.0,11.0,0.0,1.0,10074.747222272998,10074.747222272998,419.7811342613749,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -82}, np.int64(1): {'cpu': -71}}, 'link_level': {(0, 1): {'bw': -317}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1
4,4,3,223.0,317.0,206121.65446563283,298273.819153448,0.7034700315457413,0.691048430099032,11,4,1,203.0,16077,2568,13509,0.015337423312883458,0.01213893967093238,3,113.6342954649191,203.0,2,1,True,"{np.int64(0): np.int64(12), np.int64(1): np.int64(15)}","{(0, 1): [(np.int64(12), 15)]}","{(np.int64(0), np.int64(12)): {'cpu': 11}, (np.int64(1), np.int64(15)): {'cpu': 3}}","{((0, 1), (np.int64(12), 15)): {'bw': 3}}",17.0,17.0,98.0,14.0,3.0,14.0,3.0,14.0,3.0,0.0,1.0,1931.783022903625,1931.783022903625,113.6342954649191,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -46}, np.int64(1): {'cpu': -66}}, 'link_level': {(0, 1): {'bw': -240}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1
5,5,4,383.0,634.0,229384.685125898,344363.6986490983,0.6041009463722398,0.6661116895472705,13,5,1,243.0,15760,2544,13216,0.024539877300613466,0.03356489945155394,4,145.39394162665712,243.0,5,8,True,"{np.int64(0): np.int64(15), np.int64(1): np.int64(13), np.int64(2): np.int64(31), np.int64(3): np.int64(6), np.int64(4): np.int64(3)}","{(0, 1): [(np.int64(15), 13)], (0, 4): [(np.int64(15), 13), (13, np.int64(3))], (1, 2): [(np.int64(13), 2), (2, 29), (29, np.int64(31))], (1, 3): [(np.int64(13), 2), (2, 5), (5, np.int64(6))], (1, 4): [(np.int64(13), 3)], (2, 3): [(np.int64(31), 28), (28, 0), (0, 4), (4, np.int64(6))], (2, 4): [(np.int64(31), 29), (29, np.int64(3))], (3, 4): [(np.int64(6), 5), (5, np.int64(3))]}","{(np.int64(0), np.int64(15)): {'cpu': 3}, (np.int64(1), np.int64(13)): {'cpu': 0}, (np.int64(2), np.int64(31)): {'cpu': 13}, (np.int64(3), np.int64(6)): {'cpu': 5}, (np.int64(4), np.int64(3)): {'cpu': 3}}","{((0, 1), (np.int64(15), 13)): {'bw': 27}, ((0, 4), (np.int64(15), 13)): {'bw': 17}, ((0, 4), (13, np.int64(3))): {'bw': 17}, ((1, 2), (np.int64(13), 2)): {'bw': 0}, ((1, 2), (2, 29)): {'bw': 0}, ((1, 2), (29, np.int64(31))): {'bw': 0}, ((1, 3), (np.int64(13), 2)): {'bw': 30}, ((1, 3), (2, 5)): {'bw': 30}, ((1, 3), (5, np.int64(6))): {'bw': 30}, ((1, 4), (np.int64(13), 3)): {'bw': 22}, ((2, 3), (np.int64(31), 28)): {'bw': 20}, ((2, 3), (28, 0)): {'bw': 20}, ((2, 3), (0, 4)): {'bw': 20}, ((2, 3), (4, np.int64(6))): {'bw': 20}, ((2, 4), (np.int64(31), 29)): {'bw': 3}, ((2, 4), (29, np.int64(3))): {'bw': 3}, ((3, 4), (np.int64(6), 5)): {'bw': 17}, ((3, 4), (5, np.int64(3))): {'bw': 17}}",317.0,160.0,192.0,24.0,136.0,24.0,136.0,24.0,293.0,157.0,0.5047318611987381,46089.87949565031,23263.03066026514,73.38495476424333,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -63}, np.int64(1): {'cpu': -95}, np.int64(2): {'cpu': -86}, np.int64(3): {'cpu': -50}, np.int64(4): {'cpu': -55}}, 'link_level': {(0, 1): {'bw': -188}, (0, 4): {'bw': -171}, (1, 2): {'bw': -197}, (1, 3): {'bw': -167}, (1, 4): {'bw': -282}, (2, 3): {'bw': -241}, (2, 4): {'bw': -206}, (3, 4): {'bw': -351}}, 'path_level': {(0, 1): {}, (0, 4): {}, (1, 2): {}, (1, 3): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 4): {}, (1, 2): {}, (1, 3): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,8.0,1
6,6,5,437.0,697.0,266155.92594874726,387263.4796090891,0.6269727403156384,0.6872734971482722,14,6,1,284.0,15697,2518,13179,0.0345092024539877,0.03627056672760509,5,680.9489041268382,284.0,3,3,True,"{np.int64(0): np.int64(12), np.int64(1): np.int64(0), np.int64(2): np.int64(28)}","{(0, 1): [(np.int64(12), 0)], (0, 2): [(np.int64(12), 0), (0, np.int64(28))], (1, 2): [(np.int64(0), 28)]}","{(np.int64(0), np.int64(12)): {'cpu': 10}, (np.int64(1), np.int64(0)): {'cpu': 5}, (np.int64(2), np.int64(28)): {'cpu': 11}}","{((0, 1), (np.int64(12), 0)): {'bw': 5}, ((0, 2), (np.int64(12), 0)): {'bw': 9}, ((0, 2), (0, np.int64(28))): {'bw': 9}, ((1, 2), (np.int64(0), 28)): {'bw': 14}}",63.0,54.0,286.0,26.0,28.0,26.0,28.0,26.0,37.0,9.0,0.8571428571428571,42899.78095999081,36771.240822849264,583.6704892515755,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -36}, np.int64(1): {'cpu': -82}, np.int64(2): {'cpu': -60}}, 'link_level': {(0, 1): {'bw': -202}, (0, 2): {'bw': -193}, (1, 2): {'bw': -218}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,3.0,1
6,6,4,437.0,697.0,266155.92594874726,387263.4796090891,0.6269727403156384,0.6872734971482722,14,7,0,316.6342954649191,15714,2532,13182,0.02914110429447858,0.03605118829981724,3,113.6342954649191,203.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,1
7,7,5,559.0,902.0,279420.1722600083,409551.7623452244,0.6197339246119734,0.6822585029544471,15,8,1,341.0,15509,2493,13016,0.04409509202453987,0.04819012797074951,6,108.72333042017232,341.0,5,5,True,"{np.int64(0): np.int64(21), np.int64(1): np.int64(5), np.int64(2): np.int64(15), np.int64(3): np.int64(3), np.int64(4): np.int64(6)}","{(0, 1): [(np.int64(21), 2), (2, np.int64(5))], (0, 2): [(np.int64(21), 2), (2, 13), (13, np.int64(15))], (0, 3): [(np.int64(21), 3)], (1, 4): [(np.int64(5), 6)], (3, 4): [(np.int64(3), 5), (5, np.int64(6))]}","{(np.int64(0), np.int64(21)): {'cpu': 10}, (np.int64(1), np.int64(5)): {'cpu': 13}, (np.int64(2), np.int64(15)): {'cpu': 0}, (np.int64(3), np.int64(3)): {'cpu': 6}, (np.int64(4), np.int64(6)): {'cpu': 10}}","{((0, 1), (np.int64(21), 2)): {'bw': 23}, ((0, 1), (2, np.int64(5))): {'bw': 23}, ((0, 2), (np.int64(21), 2)): {'bw': 26}, ((0, 2), (2, 13)): {'bw': 26}, ((0, 2), (13, np.int64(15))): {'bw': 26}, ((0, 3), (np.int64(21), 3)): {'bw': 8}, ((1, 4), (np.int64(5), 6)): {'bw': 18}, ((3, 4), (np.int64(3), 5)): {'bw': 8}, ((3, 4), (5, np.int64(6))): {'bw': 8}}",205.0,122.0,429.0,39.0,83.0,39.0,83.0,39.0,166.0,83.0,0.5951219512195122,22288.282736135327,13264.246311261022,64.7036405427367,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -49}, np.int64(1): {'cpu': -48}, np.int64(2): {'cpu': -66}, np.int64(3): {'cpu': -49}, np.int64(4): {'cpu': -40}}, 'link_level': {(0, 1): {'bw': -207}, (0, 2): {'bw': -141}, (0, 3): {'bw': -392}, (1, 4): {'bw': -333}, (3, 4): {'bw': -325}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (1, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (1, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,1
7,7,4,559.0,902.0,279420.1722600083,409551.7623452244,0.6197339246119734,0.6822585029544471,15,9,0,388.3939416266571,15826,2517,13309,0.034892638036809864,0.026764168190127946,4,145.39394162665712,243.0,5,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,1
8,8,5,599.0,958.0,296834.99935026537,433932.5202715843,0.6252609603340292,0.6840579709593694,16,10,1,392.0,15770,2500,13270,0.04141104294478526,0.029616087751371145,7,435.37067725642675,392.0,3,2,True,"{np.int64(0): np.int64(5), np.int64(1): np.int64(28), np.int64(2): np.int64(7)}","{(0, 2): [(np.int64(5), 7)], (1, 2): [(np.int64(28), 0), (0, 4), (4, np.int64(7))]}","{(np.int64(0), np.int64(5)): {'cpu': 5}, (np.int64(1), np.int64(28)): {'cpu': 0}, (np.int64(2), np.int64(7)): {'cpu': 12}}","{((0, 2), (np.int64(5), 7)): {'bw': 15}, ((1, 2), (np.int64(28), 0)): {'bw': 8}, ((1, 2), (0, 4)): {'bw': 8}, ((1, 2), (4, np.int64(7))): {'bw': 8}}",56.0,40.0,68.0,17.0,23.0,17.0,23.0,17.0,39.0,16.0,0.7142857142857143,24380.757926359896,17414.82709025707,310.97905518316196,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -43}, np.int64(1): {'cpu': -60}, np.int64(2): {'cpu': -53}}, 'link_level': {(0, 2): {'bw': -334}, (1, 2): {'bw': -230}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,1
8,8,4,599.0,958.0,296834.99935026537,433932.5202715843,0.6252609603340292,0.6840579709593694,16,11,0,449.7233304201723,15975,2539,13436,0.026457055214723968,0.017477148080438765,6,108.72333042017232,341.0,5,5,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,1
9,9,5,730.0,1172.0,526558.1990136786,809205.5334621982,0.6228668941979523,0.6507100819748368,19,12,1,453.0,15761,2500,13261,0.04141104294478526,0.030274223034734926,8,1753.612211171093,453.0,5,6,True,"{np.int64(0): np.int64(28), np.int64(1): np.int64(20), np.int64(2): np.int64(30), np.int64(3): np.int64(29), np.int64(4): np.int64(32)}","{(0, 2): [(np.int64(28), 30)], (0, 3): [(np.int64(28), 30), (30, np.int64(29))], (0, 4): [(np.int64(28), 30), (30, np.int64(32))], (1, 2): [(np.int64(20), 0), (0, 28), (28, np.int64(30))], (2, 4): [(np.int64(30), 32)], (3, 4): [(np.int64(29), 30), (30, np.int64(32))]}","{(np.int64(0), np.int64(28)): {'cpu': 10}, (np.int64(1), np.int64(20)): {'cpu': 2}, (np.int64(2), np.int64(30)): {'cpu': 10}, (np.int64(3), np.int64(29)): {'cpu': 8}, (np.int64(4), np.int64(32)): {'cpu': 9}}","{((0, 2), (np.int64(28), 30)): {'bw': 4}, ((0, 3), (np.int64(28), 30)): {'bw': 17}, ((0, 3), (30, np.int64(29))): {'bw': 17}, ((0, 4), (np.int64(28), 30)): {'bw': 18}, ((0, 4), (30, np.int64(32))): {'bw': 18}, ((1, 2), (np.int64(20), 0)): {'bw': 17}, ((1, 2), (0, 28)): {'bw': 17}, ((1, 2), (28, np.int64(30))): {'bw': 17}, ((2, 4), (np.int64(30), 32)): {'bw': 22}, ((3, 4), (np.int64(29), 30)): {'bw': 14}, ((3, 4), (30, np.int64(32))): {'bw': 14}}",214.0,131.0,234.0,39.0,92.0,39.0,92.0,39.0,175.0,83.0,0.6121495327102804,375273.0131906139,229723.19966341316,1073.472895623426,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -50}, np.int64(1): {'cpu': -68}, np.int64(2): {'cpu': -81}, np.int64(3): {'cpu': -64}, np.int64(4): {'cpu': -71}}, 'link_level': {(0, 2): {'bw': -349}, (0, 3): {'bw': -205}, (0, 4): {'bw': -314}, (1, 2): {'bw': -213}, (2, 4): {'bw': -355}, (3, 4): {'bw': -191}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 2): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 2): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,1
10,10,6,764.0,1206.0,558453.5826704216,841100.9171189412,0.6334991708126037,0.6639555032032499,20,13,1,502.0,15727,2482,13245,0.04831288343558282,0.03144424131627055,9,938.0995193159704,502.0,2,1,True,"{np.int64(0): np.int64(8), np.int64(1): np.int64(6)}","{(0, 1): [(np.int64(8), 6)]}","{(np.int64(0), np.int64(8)): {'cpu': 13}, (np.int64(1), np.int64(6)): {'cpu': 5}}","{((0, 1), (np.int64(8), 6)): {'bw': 16}}",34.0,34.0,144.0,18.0,16.0,18.0,16.0,18.0,16.0,0.0,1.0,31895.383656742993,31895.383656742993,938.0995193159704,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -37}, np.int64(1): {'cpu': -50}}, 'link_level': {(0, 1): {'bw': -233}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1
11,11,7,801.0,1243.0,563526.9588241733,846174.293272693,0.6444086886564763,0.6659703128591357,20,14,1,566.0,15690,2475,13215,0.050996932515337434,0.033638025594149856,10,137.11827442572147,566.0,2,1,True,"{np.int64(0): np.int64(8), np.int64(1): np.int64(6)}","{(0, 1): [(np.int64(8), 6)]}","{(np.int64(0), np.int64(8)): {'cpu': 6}, (np.int64(1), np.int64(6)): {'cpu': 1}}","{((0, 1), (np.int64(8), 6)): {'bw': 30}}",37.0,37.0,35.0,7.0,30.0,7.0,30.0,7.0,30.0,0.0,1.0,5073.376153751694,5073.376153751694,137.11827442572147,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -31}, np.int64(1): {'cpu': -49}}, 'link_level': {(0, 1): {'bw': -203}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1
11,11,6,801.0,1243.0,563526.9588241733,846174.293272693,0.6444086886564763,0.6659703128591357,20,15,0,578.781134261375,15714,2488,13226,0.04601226993865026,0.032833638025594136,2,419.7811342613749,159.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,1
12,12,7,849.0,1291.0,579865.2852982141,862512.6197467337,0.6576297443841983,0.672297740372175,20,16,1,612.0,15666,2484,13182,0.0475460122699386,0.03605118829981724,11,340.38180154251546,612.0,3,2,True,"{np.int64(0): np.int64(21), np.int64(1): np.int64(2), np.int64(2): np.int64(5)}","{(0, 1): [(np.int64(21), 2)], (1, 2): [(np.int64(2), 5)]}","{(np.int64(0), np.int64(21)): {'cpu': 0}, (np.int64(1), np.int64(2)): {'cpu': 1}, (np.int64(2), np.int64(5)): {'cpu': 3}}","{((0, 1), (np.int64(21), 2)): {'bw': 14}, ((1, 2), (np.int64(2), 5)): {'bw': 30}}",48.0,48.0,48.0,4.0,44.0,4.0,44.0,4.0,44.0,0.0,1.0,16338.326474040743,16338.326474040743,340.38180154251546,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -59}, np.int64(1): {'cpu': -59}, np.int64(2): {'cpu': -53}}, 'link_level': {(0, 1): {'bw': -289}, (1, 2): {'bw': -230}}, 'path_level': {(0, 1): {}, (1, 2): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0,1
13,13,8,868.0,1310.0,589056.2265717317,871703.5610202514,0.6625954198473283,0.6757529198140408,20,17,1,663.0,15647,2469,13178,0.05329754601226999,0.036343692870201116,12,483.73375123777464,663.0,2,1,True,"{np.int64(0): np.int64(3), np.int64(1): np.int64(29)}","{(0, 1): [(np.int64(3), 29)]}","{(np.int64(0), np.int64(3)): {'cpu': 10}, (np.int64(1), np.int64(29)): {'cpu': 5}}","{((0, 1), (np.int64(3), 29)): {'bw': 4}}",19.0,19.0,60.0,15.0,4.0,15.0,4.0,15.0,4.0,0.0,1.0,9190.941273517717,9190.941273517717,483.73375123777464,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -48}, np.int64(1): {'cpu': -59}}, 'link_level': {(0, 1): {'bw': -226}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,1
