v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
9,2,2,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,10,1,292.0,11360,2088,9272,0.2616690240452617,0.36787564766839376,8,91.79931059919478,292.0,7,12,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1}",{},{},{},0.0,0.0,800.0,400.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,0.0,4
10,2,2,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,11,1,329.0,11360,2088,9272,0.2616690240452617,0.36787564766839376,9,205.6257816899941,329.0,6,6,False,{},{},{},{},0.0,0.0,646.0,323.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
11,2,2,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,12,1,364.0,11360,2088,9272,0.2616690240452617,0.36787564766839376,10,450.8835213951323,364.0,10,22,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,1130.0,565.0,2349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,4
11,2,2,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,13,0,383.79931059919477,11360,2088,9272,0.2616690240452617,0.36787564766839376,8,91.79931059919478,292.0,7,12,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
11,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,14,0,386.65843346046614,13587,2406,11181,0.1492220650636492,0.23772838832833376,2,274.65843346046614,112.0,6,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
12,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,15,1,401.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,11,19.237988887569244,401.0,8,10,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1}",{},{},{},0.0,0.0,714.0,357.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.0,0.0,4
12,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,16,0,420.23798888756926,13587,2406,11181,0.1492220650636492,0.23772838832833376,11,19.237988887569244,401.0,8,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
13,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,17,1,447.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,12,515.4420381029943,447.0,10,20,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,1254.0,627.0,2167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,4
14,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,18,1,466.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,13,470.94069920524873,466.0,8,8,False,{},{},{},{},0.0,0.0,1002.0,501.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
15,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,19,1,497.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,14,129.89982732226608,497.0,10,22,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,1104.0,552.0,2494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.0,0.0,4
15,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,20,0,498.37402859821407,13587,2406,11181,0.1492220650636492,0.23772838832833376,7,242.3740285982141,256.0,10,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
16,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,21,1,522.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,15,277.57841215019715,522.0,9,21,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,1002.0,501.0,2359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,0.0,4
16,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,22,0,534.6257816899941,13587,2406,11181,0.1492220650636492,0.23772838832833376,9,205.6257816899941,329.0,6,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
17,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,23,1,552.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,16,107.5349675859121,552.0,6,6,False,{},{},{},{},0.0,0.0,638.0,319.0,599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,4
18,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,24,1,571.0,13587,2406,11181,0.1492220650636492,0.23772838832833376,17,10.780303965306567,571.0,7,11,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1}",{},{},{},0.0,0.0,728.0,364.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,0.0,4
18,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,25,0,581.7803039653065,13587,2406,11181,0.1492220650636492,0.23772838832833376,17,10.780303965306567,571.0,7,11,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
18,2,1,2836.0,6136.0,2090978.4954247922,4902865.2639704645,0.4621903520208605,0.4264809214299038,14,26,0,595.8664325293968,13587,2406,11181,0.1492220650636492,0.23772838832833376,4,438.8664325293968,157.0,8,19,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
