v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,22.0,15828,1173,14655,0.0,0.0,0,906.733098550513,22.0,10,20,False,"{7: 9, 0: 8, 3: 10, 6: 11}","{(0, 7): [(8, 6), (6, 9)], (3, 0): [(10, 7), (7, 4), (4, 6), (6, 8)], (3, 7): [(10, 7), (7, 4), (4, 6), (6, 9)], (6, 0): [(11, 7), (7, 4), (4, 6), (6, 8)], (6, 7): [(11, 7), (7, 4), (4, 6), (6, 9)]}","{(7, 9): {'cpu': 10}, (0, 8): {'cpu': 11}, (3, 10): {'cpu': 11}, (6, 11): {'cpu': 7}}","{((0, 7), (8, 6)): {'bw': 26}, ((0, 7), (6, 9)): {'bw': 26}, ((3, 0), (10, 7)): {'bw': 25}, ((3, 0), (7, 4)): {'bw': 25}, ((3, 0), (4, 6)): {'bw': 25}, ((3, 0), (6, 8)): {'bw': 25}, ((3, 7), (10, 7)): {'bw': 27}, ((3, 7), (7, 4)): {'bw': 27}, ((3, 7), (4, 6)): {'bw': 27}, ((3, 7), (6, 9)): {'bw': 27}, ((6, 0), (11, 7)): {'bw': 45}, ((6, 0), (7, 4)): {'bw': 45}, ((6, 0), (4, 6)): {'bw': 45}, ((6, 0), (6, 8)): {'bw': 45}, ((6, 7), (11, 7)): {'bw': 46}, ((6, 7), (7, 4)): {'bw': 46}, ((6, 7), (4, 6)): {'bw': 46}, ((6, 7), (6, 9)): {'bw': 46}}",0.0,0.0,196.0,98.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,139.0,"{'node_level': {'cpu': 2}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -81}, 0: {'cpu': -82}, 3: {'cpu': -49}, 6: {'cpu': -64}, 4: {'cpu': 2}}, 'link_level': {(0, 7): {'bw': -358}, (3, 0): {'bw': -291}, (3, 7): {'bw': -264}, (6, 0): {'bw': -219}, (6, 7): {'bw': -173}}, 'path_level': {(0, 7): {}, (3, 0): {}, (3, 7): {}, (6, 0): {}, (6, 7): {}}}","{'node_level': {7: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 2}}, 'link_level': {(0, 7): {'bw': 0}, (3, 0): {'bw': 0}, (3, 7): {'bw': 0}, (6, 0): {'bw': 0}, (6, 7): {'bw': 0}}, 'path_level': {(0, 7): {}, (3, 0): {}, (3, 7): {}, (6, 0): {}, (6, 7): {}}}",[],-64.0,0.0,False,True,False,0,[],0,0.0,20.0,0.004440784454345703,4.0,5.0
2,0,0,0,0,0,0,0,0,0,1,1,51.0,15828,1173,14655,0.0,0.0,1,382.57393229659357,51.0,5,5,False,"{1: 9, 3: 8, 4: 10, 0: 11}","{(3, 1): [(8, 6), (6, 9)], (4, 1): [(10, 7), (7, 4), (4, 6), (6, 9)], (0, 1): [(11, 7), (7, 4), (4, 6), (6, 9)], (0, 4): [(11, 7), (7, 10)]}","{(1, 9): {'cpu': 7}, (3, 8): {'cpu': 17}, (4, 10): {'cpu': 4}, (0, 11): {'cpu': 0}}","{((3, 1), (8, 6)): {'bw': 11}, ((3, 1), (6, 9)): {'bw': 11}, ((4, 1), (10, 7)): {'bw': 43}, ((4, 1), (7, 4)): {'bw': 43}, ((4, 1), (4, 6)): {'bw': 43}, ((4, 1), (6, 9)): {'bw': 43}, ((0, 1), (11, 7)): {'bw': 42}, ((0, 1), (7, 4)): {'bw': 42}, ((0, 1), (4, 6)): {'bw': 42}, ((0, 1), (6, 9)): {'bw': 42}, ((0, 4), (11, 7)): {'bw': 48}, ((0, 4), (7, 10)): {'bw': 48}}",0.0,0.0,78.0,39.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,182.0,"{'node_level': {'cpu': 11}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -84}, 3: {'cpu': -76}, 4: {'cpu': -56}, 0: {'cpu': -71}, 2: {'cpu': 11}}, 'link_level': {(3, 1): {'bw': -373}, (4, 1): {'bw': -273}, (0, 1): {'bw': -231}, (0, 4): {'bw': -274}}, 'path_level': {(3, 1): {}, (4, 1): {}, (0, 1): {}, (0, 4): {}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 11}}, 'link_level': {(3, 1): {'bw': 0}, (4, 1): {'bw': 0}, (0, 1): {'bw': 0}, (0, 4): {'bw': 0}}, 'path_level': {(3, 1): {}, (4, 1): {}, (0, 1): {}, (0, 4): {}}}",[],-71.0,0.0,False,True,False,0,[],0,0.0,20.0,0.0014240741729736328,4.0,4.0
3,0,0,0,0,0,0,0,0,0,2,1,73.0,15828,1173,14655,0.0,0.0,2,745.7559213725051,73.0,10,20,False,"{1: 9, 2: 8, 9: 10, 5: 11}","{(2, 1): [(8, 6), (6, 9)], (9, 1): [(10, 7), (7, 4), (4, 6), (6, 9)], (9, 2): [(10, 7), (7, 4), (4, 6), (6, 8)], (5, 1): [(11, 7), (7, 4), (4, 6), (6, 9)], (5, 2): [(11, 7), (7, 4), (4, 6), (6, 8)], (5, 9): [(11, 7), (7, 10)]}","{(1, 9): {'cpu': 19}, (2, 8): {'cpu': 17}, (9, 10): {'cpu': 6}, (5, 11): {'cpu': 10}}","{((2, 1), (8, 6)): {'bw': 50}, ((2, 1), (6, 9)): {'bw': 50}, ((9, 1), (10, 7)): {'bw': 36}, ((9, 1), (7, 4)): {'bw': 36}, ((9, 1), (4, 6)): {'bw': 36}, ((9, 1), (6, 9)): {'bw': 36}, ((9, 2), (10, 7)): {'bw': 19}, ((9, 2), (7, 4)): {'bw': 19}, ((9, 2), (4, 6)): {'bw': 19}, ((9, 2), (6, 8)): {'bw': 19}, ((5, 1), (11, 7)): {'bw': 19}, ((5, 1), (7, 4)): {'bw': 19}, ((5, 1), (4, 6)): {'bw': 19}, ((5, 1), (6, 9)): {'bw': 19}, ((5, 2), (11, 7)): {'bw': 18}, ((5, 2), (7, 4)): {'bw': 18}, ((5, 2), (4, 6)): {'bw': 18}, ((5, 2), (6, 8)): {'bw': 18}, ((5, 9), (11, 7)): {'bw': 45}, ((5, 9), (7, 10)): {'bw': 45}}",0.0,0.0,238.0,119.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,234.0,"{'node_level': {'cpu': 15}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -72}, 2: {'cpu': -76}, 9: {'cpu': -54}, 5: {'cpu': -61}, 6: {'cpu': 15}}, 'link_level': {(2, 1): {'bw': -334}, (9, 1): {'bw': -280}, (9, 2): {'bw': -261}, (5, 1): {'bw': -242}, (5, 2): {'bw': -224}, (5, 9): {'bw': -265}}, 'path_level': {(2, 1): {}, (9, 1): {}, (9, 2): {}, (5, 1): {}, (5, 2): {}, (5, 9): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 15}}, 'link_level': {(2, 1): {'bw': 0}, (9, 1): {'bw': 0}, (9, 2): {'bw': 0}, (5, 1): {'bw': 0}, (5, 2): {'bw': 0}, (5, 9): {'bw': 0}}, 'path_level': {(2, 1): {}, (9, 1): {}, (9, 2): {}, (5, 1): {}, (5, 2): {}, (5, 9): {}}}",[],-61.0,0.0,False,True,False,0,[],0,0.0,20.0,0.0011327266693115234,4.0,6.0
4,0,0,0,0,0,0,0,0,0,3,1,101.0,15828,1173,14655,0.0,0.0,3,131.2257067570419,101.0,10,27,False,"{8: 9, 7: 8, 1: 10, 3: 11}","{(7, 8): [(8, 6), (6, 9)], (1, 7): [(10, 7), (7, 4), (4, 6), (6, 8)], (1, 8): [(10, 7), (7, 4), (4, 6), (6, 9)], (3, 1): [(11, 7), (7, 10)], (3, 7): [(11, 7), (7, 4), (4, 6), (6, 8)], (3, 8): [(11, 7), (7, 4), (4, 6), (6, 9)]}","{(8, 9): {'cpu': 12}, (7, 8): {'cpu': 10}, (1, 10): {'cpu': 7}, (3, 11): {'cpu': 6}}","{((7, 8), (8, 6)): {'bw': 38}, ((7, 8), (6, 9)): {'bw': 38}, ((1, 7), (10, 7)): {'bw': 41}, ((1, 7), (7, 4)): {'bw': 41}, ((1, 7), (4, 6)): {'bw': 41}, ((1, 7), (6, 8)): {'bw': 41}, ((1, 8), (10, 7)): {'bw': 22}, ((1, 8), (7, 4)): {'bw': 22}, ((1, 8), (4, 6)): {'bw': 22}, ((1, 8), (6, 9)): {'bw': 22}, ((3, 1), (11, 7)): {'bw': 26}, ((3, 1), (7, 10)): {'bw': 26}, ((3, 7), (11, 7)): {'bw': 5}, ((3, 7), (7, 4)): {'bw': 5}, ((3, 7), (4, 6)): {'bw': 5}, ((3, 7), (6, 8)): {'bw': 5}, ((3, 8), (11, 7)): {'bw': 41}, ((3, 8), (7, 4)): {'bw': 41}, ((3, 8), (4, 6)): {'bw': 41}, ((3, 8), (6, 9)): {'bw': 41}}",0.0,0.0,128.0,64.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,131.0,"{'node_level': {'cpu': 5}, 'link_level': {}, 'path_level': {}}","{'node_level': {8: {'cpu': -79}, 7: {'cpu': -83}, 1: {'cpu': -53}, 3: {'cpu': -65}, 5: {'cpu': 5}}, 'link_level': {(7, 8): {'bw': -346}, (1, 7): {'bw': -275}, (1, 8): {'bw': -253}, (3, 1): {'bw': -276}, (3, 7): {'bw': -248}, (3, 8): {'bw': -207}}, 'path_level': {(7, 8): {}, (1, 7): {}, (1, 8): {}, (3, 1): {}, (3, 7): {}, (3, 8): {}}}","{'node_level': {8: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 5}}, 'link_level': {(7, 8): {'bw': 0}, (1, 7): {'bw': 0}, (1, 8): {'bw': 0}, (3, 1): {'bw': 0}, (3, 7): {'bw': 0}, (3, 8): {'bw': 0}}, 'path_level': {(7, 8): {}, (1, 7): {}, (1, 8): {}, (3, 1): {}, (3, 7): {}, (3, 8): {}}}",[],-65.0,0.0,False,True,False,0,[],0,0.0,20.0,0.0011248588562011719,4.0,6.0
5,0,0,0,0,0,0,0,0,0,4,1,134.0,15828,1173,14655,0.0,0.0,4,1680.4119998083818,134.0,2,1,False,"{1: 9, 0: 8}","{(0, 1): [(8, 6), (6, 9)]}","{(1, 9): {'cpu': 20}, (0, 8): {'cpu': 6}}","{((0, 1), (8, 6)): {'bw': 24}, ((0, 1), (6, 9)): {'bw': 24}}",0.0,0.0,52.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,18.0,"{'node_level': {'cpu': -87}, 'link_level': {'bw': -360}, 'path_level': {}}","{'node_level': {1: {'cpu': -71}, 0: {'cpu': -87}}, 'link_level': {(0, 1): {'bw': -360}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-87.0,0.0,False,True,False,0,[],0,0.0,3.0,0.0009312629699707031,2.0,1.0
6,0,0,0,0,0,0,0,0,0,5,1,159.0,15828,1173,14655,0.0,0.0,5,695.2060282383483,159.0,7,12,False,"{4: 9, 5: 8, 2: 10, 1: 11}","{(5, 4): [(8, 6), (6, 9)], (2, 4): [(10, 7), (7, 4), (4, 6), (6, 9)], (2, 5): [(10, 7), (7, 4), (4, 6), (6, 8)], (1, 4): [(11, 7), (7, 4), (4, 6), (6, 9)], (1, 5): [(11, 7), (7, 4), (4, 6), (6, 8)]}","{(4, 9): {'cpu': 7}, (5, 8): {'cpu': 10}, (2, 10): {'cpu': 12}, (1, 11): {'cpu': 6}}","{((5, 4), (8, 6)): {'bw': 35}, ((5, 4), (6, 9)): {'bw': 35}, ((2, 4), (10, 7)): {'bw': 49}, ((2, 4), (7, 4)): {'bw': 49}, ((2, 4), (4, 6)): {'bw': 49}, ((2, 4), (6, 9)): {'bw': 49}, ((2, 5), (10, 7)): {'bw': 15}, ((2, 5), (7, 4)): {'bw': 15}, ((2, 5), (4, 6)): {'bw': 15}, ((2, 5), (6, 8)): {'bw': 15}, ((1, 4), (11, 7)): {'bw': 14}, ((1, 4), (7, 4)): {'bw': 14}, ((1, 4), (4, 6)): {'bw': 14}, ((1, 4), (6, 9)): {'bw': 14}, ((1, 5), (11, 7)): {'bw': 40}, ((1, 5), (7, 4)): {'bw': 40}, ((1, 5), (4, 6)): {'bw': 40}, ((1, 5), (6, 8)): {'bw': 40}}",0.0,0.0,114.0,57.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,153.0,"{'node_level': {'cpu': 3}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -84}, 5: {'cpu': -83}, 2: {'cpu': -48}, 1: {'cpu': -65}, 0: {'cpu': 3}}, 'link_level': {(5, 4): {'bw': -349}, (2, 4): {'bw': -267}, (2, 5): {'bw': -252}, (1, 4): {'bw': -238}, (1, 5): {'bw': -198}}, 'path_level': {(5, 4): {}, (2, 4): {}, (2, 5): {}, (1, 4): {}, (1, 5): {}}}","{'node_level': {4: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 3}}, 'link_level': {(5, 4): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}}, 'path_level': {(5, 4): {}, (2, 4): {}, (2, 5): {}, (1, 4): {}, (1, 5): {}}}",[],-65.0,0.0,False,True,False,0,[],0,0.0,20.0,0.001291036605834961,4.0,5.0
7,0,0,0,0,0,0,0,0,0,6,1,182.0,15828,1173,14655,0.0,0.0,6,210.10706944032904,182.0,5,5,False,"{0: 9, 1: 8, 3: 10, 2: 11}","{(1, 0): [(8, 6), (6, 9)], (3, 0): [(10, 7), (7, 4), (4, 6), (6, 9)], (2, 0): [(11, 7), (7, 4), (4, 6), (6, 9)], (2, 1): [(11, 7), (7, 4), (4, 6), (6, 8)]}","{(0, 9): {'cpu': 14}, (1, 8): {'cpu': 18}, (3, 10): {'cpu': 9}, (2, 11): {'cpu': 2}}","{((1, 0), (8, 6)): {'bw': 33}, ((1, 0), (6, 9)): {'bw': 33}, ((3, 0), (10, 7)): {'bw': 33}, ((3, 0), (7, 4)): {'bw': 33}, ((3, 0), (4, 6)): {'bw': 33}, ((3, 0), (6, 9)): {'bw': 33}, ((2, 0), (11, 7)): {'bw': 24}, ((2, 0), (7, 4)): {'bw': 24}, ((2, 0), (4, 6)): {'bw': 24}, ((2, 0), (6, 9)): {'bw': 24}, ((2, 1), (11, 7)): {'bw': 17}, ((2, 1), (7, 4)): {'bw': 17}, ((2, 1), (4, 6)): {'bw': 17}, ((2, 1), (6, 8)): {'bw': 17}}",0.0,0.0,116.0,58.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,261.0,"{'node_level': {'cpu': 15}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -77}, 1: {'cpu': -75}, 3: {'cpu': -51}, 2: {'cpu': -69}, 4: {'cpu': 15}}, 'link_level': {(1, 0): {'bw': -351}, (3, 0): {'bw': -283}, (2, 0): {'bw': -259}, (2, 1): {'bw': -242}}, 'path_level': {(1, 0): {}, (3, 0): {}, (2, 0): {}, (2, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 15}}, 'link_level': {(1, 0): {'bw': 0}, (3, 0): {'bw': 0}, (2, 0): {'bw': 0}, (2, 1): {'bw': 0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (2, 0): {}, (2, 1): {}}}",[],-69.0,0.0,False,True,False,0,[],0,0.0,20.0,0.000982046127319336,4.0,4.0
8,0,0,0,0,0,0,0,0,0,7,1,204.0,15828,1173,14655,0.0,0.0,7,1483.3552248166907,204.0,7,9,False,"{5: 9, 2: 8, 4: 10, 1: 11}","{(2, 5): [(8, 6), (6, 9)], (4, 2): [(10, 7), (7, 4), (4, 6), (6, 8)], (4, 5): [(10, 7), (7, 4), (4, 6), (6, 9)], (1, 2): [(11, 7), (7, 4), (4, 6), (6, 8)], (1, 5): [(11, 7), (7, 4), (4, 6), (6, 9)]}","{(5, 9): {'cpu': 16}, (2, 8): {'cpu': 19}, (4, 10): {'cpu': 10}, (1, 11): {'cpu': 16}}","{((2, 5), (8, 6)): {'bw': 30}, ((2, 5), (6, 9)): {'bw': 30}, ((4, 2), (10, 7)): {'bw': 20}, ((4, 2), (7, 4)): {'bw': 20}, ((4, 2), (4, 6)): {'bw': 20}, ((4, 2), (6, 8)): {'bw': 20}, ((4, 5), (10, 7)): {'bw': 23}, ((4, 5), (7, 4)): {'bw': 23}, ((4, 5), (4, 6)): {'bw': 23}, ((4, 5), (6, 9)): {'bw': 23}, ((1, 2), (11, 7)): {'bw': 8}, ((1, 2), (7, 4)): {'bw': 8}, ((1, 2), (4, 6)): {'bw': 8}, ((1, 2), (6, 8)): {'bw': 8}, ((1, 5), (11, 7)): {'bw': 32}, ((1, 5), (7, 4)): {'bw': 32}, ((1, 5), (4, 6)): {'bw': 32}, ((1, 5), (6, 9)): {'bw': 32}}",0.0,0.0,170.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,290.0,"{'node_level': {'cpu': 17}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -75}, 2: {'cpu': -74}, 4: {'cpu': -50}, 1: {'cpu': -55}, 3: {'cpu': 17}}, 'link_level': {(2, 5): {'bw': -354}, (4, 2): {'bw': -296}, (4, 5): {'bw': -273}, (1, 2): {'bw': -265}, (1, 5): {'bw': -233}}, 'path_level': {(2, 5): {}, (4, 2): {}, (4, 5): {}, (1, 2): {}, (1, 5): {}}}","{'node_level': {5: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 17}}, 'link_level': {(2, 5): {'bw': 0}, (4, 2): {'bw': 0}, (4, 5): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}}, 'path_level': {(2, 5): {}, (4, 2): {}, (4, 5): {}, (1, 2): {}, (1, 5): {}}}",[],-55.0,0.0,False,True,False,0,[],0,0.0,20.0,0.0012252330780029297,4.0,5.0
9,0,0,0,0,0,0,0,0,0,8,1,224.0,15828,1173,14655,0.0,0.0,8,602.8400954844434,224.0,9,21,False,"{7: 9, 2: 8, 1: 10, 5: 11}","{(2, 7): [(8, 6), (6, 9)], (1, 2): [(10, 7), (7, 4), (4, 6), (6, 8)], (1, 7): [(10, 7), (7, 4), (4, 6), (6, 9)], (5, 2): [(11, 7), (7, 4), (4, 6), (6, 8)], (5, 7): [(11, 7), (7, 4), (4, 6), (6, 9)]}","{(7, 9): {'cpu': 18}, (2, 8): {'cpu': 11}, (1, 10): {'cpu': 12}, (5, 11): {'cpu': 12}}","{((2, 7), (8, 6)): {'bw': 43}, ((2, 7), (6, 9)): {'bw': 43}, ((1, 2), (10, 7)): {'bw': 14}, ((1, 2), (7, 4)): {'bw': 14}, ((1, 2), (4, 6)): {'bw': 14}, ((1, 2), (6, 8)): {'bw': 14}, ((1, 7), (10, 7)): {'bw': 36}, ((1, 7), (7, 4)): {'bw': 36}, ((1, 7), (4, 6)): {'bw': 36}, ((1, 7), (6, 9)): {'bw': 36}, ((5, 2), (11, 7)): {'bw': 22}, ((5, 2), (7, 4)): {'bw': 22}, ((5, 2), (4, 6)): {'bw': 22}, ((5, 2), (6, 8)): {'bw': 22}, ((5, 7), (11, 7)): {'bw': 1}, ((5, 7), (7, 4)): {'bw': 1}, ((5, 7), (4, 6)): {'bw': 1}, ((5, 7), (6, 9)): {'bw': 1}}",0.0,0.0,168.0,84.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,210.0,"{'node_level': {'cpu': 9}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -73}, 2: {'cpu': -82}, 1: {'cpu': -48}, 5: {'cpu': -59}, 3: {'cpu': 9}}, 'link_level': {(2, 7): {'bw': -341}, (1, 2): {'bw': -302}, (1, 7): {'bw': -266}, (5, 2): {'bw': -244}, (5, 7): {'bw': -243}}, 'path_level': {(2, 7): {}, (1, 2): {}, (1, 7): {}, (5, 2): {}, (5, 7): {}}}","{'node_level': {7: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 9}}, 'link_level': {(2, 7): {'bw': 0}, (1, 2): {'bw': 0}, (1, 7): {'bw': 0}, (5, 2): {'bw': 0}, (5, 7): {'bw': 0}}, 'path_level': {(2, 7): {}, (1, 2): {}, (1, 7): {}, (5, 2): {}, (5, 7): {}}}",[],-59.0,0.0,False,True,False,0,[],0,0.0,20.0,0.001230001449584961,4.0,5.0
9,0,0,0,0,0,0,0,0,0,9,0,232.2257067570419,15828,1173,14655,0.0,0.0,3,131.2257067570419,101.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
10,0,0,0,0,0,0,0,0,0,10,1,249.0,15828,1173,14655,0.0,0.0,9,918.0472056090825,249.0,8,16,False,"{1: 9, 4: 8, 0: 10, 7: 11}","{(4, 1): [(8, 6), (6, 9)], (0, 1): [(10, 7), (7, 4), (4, 6), (6, 9)], (7, 1): [(11, 7), (7, 4), (4, 6), (6, 9)]}","{(1, 9): {'cpu': 17}, (4, 8): {'cpu': 7}, (0, 10): {'cpu': 9}, (7, 11): {'cpu': 10}}","{((4, 1), (8, 6)): {'bw': 13}, ((4, 1), (6, 9)): {'bw': 13}, ((0, 1), (10, 7)): {'bw': 42}, ((0, 1), (7, 4)): {'bw': 42}, ((0, 1), (4, 6)): {'bw': 42}, ((0, 1), (6, 9)): {'bw': 42}, ((7, 1), (11, 7)): {'bw': 1}, ((7, 1), (7, 4)): {'bw': 1}, ((7, 1), (4, 6)): {'bw': 1}, ((7, 1), (6, 9)): {'bw': 1}}",0.0,0.0,130.0,65.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,120.0,"{'node_level': {'cpu': 3}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -74}, 4: {'cpu': -86}, 0: {'cpu': -51}, 7: {'cpu': -61}, 3: {'cpu': 3}}, 'link_level': {(4, 1): {'bw': -371}, (0, 1): {'bw': -274}, (7, 1): {'bw': -273}}, 'path_level': {(4, 1): {}, (0, 1): {}, (7, 1): {}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 3}}, 'link_level': {(4, 1): {'bw': 0}, (0, 1): {'bw': 0}, (7, 1): {'bw': 0}}, 'path_level': {(4, 1): {}, (0, 1): {}, (7, 1): {}}}",[],-61.0,0.0,False,True,False,0,[],0,0.0,20.0,0.0010099411010742188,4.0,3.0
11,0,0,0,0,0,0,0,0,0,11,1,278.0,15828,1173,14655,0.0,0.0,10,23.282406624600615,278.0,2,1,False,"{0: 9, 1: 8}","{(1, 0): [(8, 6), (6, 9)]}","{(0, 9): {'cpu': 16}, (1, 8): {'cpu': 14}}","{((1, 0), (8, 6)): {'bw': 0}, ((1, 0), (6, 9)): {'bw': 0}}",0.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,42.0,"{'node_level': {'cpu': -79}, 'link_level': {'bw': -384}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -79}}, 'link_level': {(1, 0): {'bw': -384}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-79.0,0.0,False,True,False,0,[],0,0.0,3.0,0.0008571147918701172,2.0,1.0
11,0,0,0,0,0,0,0,0,0,12,0,301.28240662460064,15828,1173,14655,0.0,0.0,10,23.282406624600615,278.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
