v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,22.0,4573,2254,2319,0.0,0.0,0,906.733098550513,22.0,10,20,False,"{7: 5, 0: 2, 3: 11}","{(0, 7): [(2, 5)], (3, 0): [(11, 5), (5, 2)], (3, 7): [(11, 5)]}","{(7, 5): {'cpu': 10}, (0, 2): {'cpu': 11}, (3, 11): {'cpu': 11}}","{((0, 7), (2, 5)): {'bw': 26}, ((3, 0), (11, 5)): {'bw': 25}, ((3, 0), (5, 2)): {'bw': 25}, ((3, 7), (11, 5)): {'bw': 27}}",0.0,0.0,196.0,98.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2000.0,"{'node_level': {'cpu': -53}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {7: {'cpu': -61}, 0: {'cpu': -42}, 3: {'cpu': -60}, 6: {'cpu': -53}}, 'link_level': {(0, 7): {'bw': -67}, (3, 0): {'bw': -42}, (3, 7): {'bw': -28}, (6, 0): {'bw': -12}, (6, 7): {'bw': 100.0}}, 'path_level': {(0, 7): {}, (3, 0): {}, (3, 7): {}, (6, 0): {}, (6, 7): {}}}","{'node_level': {7: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 7): {'bw': 0}, (3, 0): {'bw': 0}, (3, 7): {'bw': 0}, (6, 0): {'bw': 0}, (6, 7): {'bw': 100.0}}, 'path_level': {(0, 7): {}, (3, 0): {}, (3, 7): {}, (6, 0): {}, (6, 7): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,20.0,3.0,3.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,51.0,4573,2254,2319,0.0,0.0,1,382.57393229659357,51.0,5,5,False,"{1: 5, 3: 2, 4: 11}","{(3, 1): [(2, 5)], (4, 1): [(11, 5)]}","{(1, 5): {'cpu': 7}, (3, 2): {'cpu': 17}, (4, 11): {'cpu': 4}}","{((3, 1), (2, 5)): {'bw': 11}, ((4, 1), (11, 5)): {'bw': 43}}",0.0,0.0,78.0,39.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2000.0,"{'node_level': {'cpu': -60}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -64}, 3: {'cpu': -36}, 4: {'cpu': -67}, 0: {'cpu': -60}}, 'link_level': {(3, 1): {'bw': -82}, (4, 1): {'bw': -37}, (0, 1): {'bw': -15}, (0, 4): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (4, 1): {}, (0, 1): {}, (0, 4): {}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(3, 1): {'bw': 0}, (4, 1): {'bw': 0}, (0, 1): {'bw': 0}, (0, 4): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (4, 1): {}, (0, 1): {}, (0, 4): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,20.0,3.0,2.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,73.0,4573,2254,2319,0.0,0.0,2,745.7559213725051,73.0,10,20,False,"{1: 5, 2: 2, 9: 11}","{(2, 1): [(2, 5)], (9, 1): [(11, 5)], (9, 2): [(11, 5), (5, 2)]}","{(1, 5): {'cpu': 19}, (2, 2): {'cpu': 17}, (9, 11): {'cpu': 6}}","{((2, 1), (2, 5)): {'bw': 50}, ((9, 1), (11, 5)): {'bw': 36}, ((9, 2), (11, 5)): {'bw': 19}, ((9, 2), (5, 2)): {'bw': 19}}",0.0,0.0,238.0,119.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2000.0,"{'node_level': {'cpu': -50}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -52}, 2: {'cpu': -36}, 9: {'cpu': -65}, 5: {'cpu': -50}}, 'link_level': {(2, 1): {'bw': -43}, (9, 1): {'bw': -44}, (9, 2): {'bw': -24}, (5, 1): {'bw': -5}, (5, 2): {'bw': -20}, (5, 9): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (9, 1): {}, (9, 2): {}, (5, 1): {}, (5, 2): {}, (5, 9): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (9, 1): {'bw': 0}, (9, 2): {'bw': 0}, (5, 1): {'bw': 0}, (5, 2): {'bw': 0}, (5, 9): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (9, 1): {}, (9, 2): {}, (5, 1): {}, (5, 2): {}, (5, 9): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,20.0,3.0,3.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,101.0,4573,2254,2319,0.0,0.0,3,131.2257067570419,101.0,10,27,False,"{8: 5, 7: 2, 1: 11}","{(7, 8): [(2, 5)], (1, 7): [(11, 5), (5, 2)], (1, 8): [(11, 5)]}","{(8, 5): {'cpu': 12}, (7, 2): {'cpu': 10}, (1, 11): {'cpu': 7}}","{((7, 8), (2, 5)): {'bw': 38}, ((1, 7), (11, 5)): {'bw': 41}, ((1, 7), (5, 2)): {'bw': 41}, ((1, 8), (11, 5)): {'bw': 22}}",0.0,0.0,128.0,64.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2000.0,"{'node_level': {'cpu': -54}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {8: {'cpu': -59}, 7: {'cpu': -43}, 1: {'cpu': -64}, 3: {'cpu': -54}}, 'link_level': {(7, 8): {'bw': -55}, (1, 7): {'bw': -14}, (1, 8): {'bw': -17}, (3, 1): {'bw': 100.0}, (3, 7): {'bw': -9}, (3, 8): {'bw': 100.0}}, 'path_level': {(7, 8): {}, (1, 7): {}, (1, 8): {}, (3, 1): {}, (3, 7): {}, (3, 8): {}}}","{'node_level': {8: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(7, 8): {'bw': 0}, (1, 7): {'bw': 0}, (1, 8): {'bw': 0}, (3, 1): {'bw': 100.0}, (3, 7): {'bw': 0}, (3, 8): {'bw': 100.0}}, 'path_level': {(7, 8): {}, (1, 7): {}, (1, 8): {}, (3, 1): {}, (3, 7): {}, (3, 8): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,20.0,3.0,3.0
5,1,1,50.0,50.0,84020.59999041908,84020.59999041908,1.0,1.0,2,4,1,134.0,4523,2228,2295,0.011535048802129522,0.010349288486416586,4,1680.4119998083818,134.0,2,1,True,"{1: 5, 0: 2}","{(0, 1): [(2, 5)]}","{(1, 5): {'cpu': 20}, (0, 2): {'cpu': 6}}","{((0, 1), (2, 5)): {'bw': 24}}",50.0,50.0,52.0,26.0,24.0,26.0,24.0,26.0,24.0,0.0,1.0,84020.59999041908,84020.59999041908,1680.4119998083818,Success,0.0,"{'node_level': {'cpu': -47}, 'link_level': {'bw': -69}, 'path_level': {}}","{'node_level': {1: {'cpu': -51}, 0: {'cpu': -47}}, 'link_level': {(0, 1): {'bw': -69}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-47.0,0.0,True,True,False,0,[],0,0.0,0.0,2.0,1.0
6,1,1,50.0,50.0,84020.59999041908,84020.59999041908,1.0,1.0,2,5,1,159.0,4523,2228,2295,0.011535048802129522,0.010349288486416586,5,695.2060282383483,159.0,7,12,False,"{4: 3, 5: 1, 2: 7, 1: 0, 0: 4}","{(5, 4): [(1, 3)], (2, 4): [(7, 3)], (2, 5): [(7, 3), (3, 1)], (1, 4): [(0, 1), (1, 3)], (1, 5): [(0, 1)], (0, 4): [(4, 1), (1, 3)]}","{(4, 3): {'cpu': 7}, (5, 1): {'cpu': 10}, (2, 7): {'cpu': 12}, (1, 0): {'cpu': 6}, (0, 4): {'cpu': 3}}","{((5, 4), (1, 3)): {'bw': 35}, ((2, 4), (7, 3)): {'bw': 49}, ((2, 5), (7, 3)): {'bw': 15}, ((2, 5), (3, 1)): {'bw': 15}, ((1, 4), (0, 1)): {'bw': 14}, ((1, 4), (1, 3)): {'bw': 14}, ((1, 5), (0, 1)): {'bw': 40}, ((0, 4), (4, 1)): {'bw': 8}, ((0, 4), (1, 3)): {'bw': 8}}",0.0,0.0,114.0,57.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1800.0,"{'node_level': {'cpu': -70}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -51}, 5: {'cpu': -64}, 2: {'cpu': -48}, 1: {'cpu': -86}, 0: {'cpu': -47}, 3: {'cpu': -70}}, 'link_level': {(5, 4): {'bw': -39}, (2, 4): {'bw': -16}, (2, 5): {'bw': -1}, (1, 4): {'bw': -10}, (1, 5): {'bw': -25}, (0, 4): {'bw': -2}, (3, 0): {'bw': 100.0}, (3, 1): {'bw': 100.0}}, 'path_level': {(5, 4): {}, (2, 4): {}, (2, 5): {}, (1, 4): {}, (1, 5): {}, (0, 4): {}, (3, 0): {}, (3, 1): {}}}","{'node_level': {4: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(5, 4): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (0, 4): {'bw': 0}, (3, 0): {'bw': 100.0}, (3, 1): {'bw': 100.0}}, 'path_level': {(5, 4): {}, (2, 4): {}, (2, 5): {}, (1, 4): {}, (1, 5): {}, (0, 4): {}, (3, 0): {}, (3, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,18.0,5.0,6.0
7,2,2,225.0,242.0,120789.33714247667,124361.15732296226,0.9297520661157025,0.9712786511691132,7,6,1,182.0,4331,2170,2161,0.037267080745341574,0.06813281586890896,6,210.10706944032904,182.0,5,5,True,"{0: 3, 1: 1, 3: 7, 2: 8, 4: 0}","{(1, 0): [(1, 3)], (3, 0): [(7, 3)], (2, 0): [(8, 3)], (2, 1): [(8, 3), (3, 1)], (4, 1): [(0, 1)]}","{(0, 3): {'cpu': 14}, (1, 1): {'cpu': 18}, (3, 7): {'cpu': 9}, (2, 8): {'cpu': 2}, (4, 0): {'cpu': 15}}","{((1, 0), (1, 3)): {'bw': 33}, ((3, 0), (7, 3)): {'bw': 33}, ((2, 0), (8, 3)): {'bw': 24}, ((2, 1), (8, 3)): {'bw': 17}, ((2, 1), (3, 1)): {'bw': 17}, ((4, 1), (0, 1)): {'bw': 10}}",192.0,175.0,116.0,58.0,117.0,58.0,117.0,58.0,134.0,17.0,0.9114583333333334,40340.557332543176,36768.73715205758,191.50383933363324,Success,0.0,"{'node_level': {'cpu': -77}, 'link_level': {'bw': -69}, 'path_level': {}}","{'node_level': {0: {'cpu': -44}, 1: {'cpu': -56}, 3: {'cpu': -51}, 2: {'cpu': -91}, 4: {'cpu': -77}}, 'link_level': {(1, 0): {'bw': -41}, (3, 0): {'bw': -32}, (2, 0): {'bw': -74}, (2, 1): {'bw': -24}, (4, 1): {'bw': -69}}, 'path_level': {(1, 0): {}, (3, 0): {}, (2, 0): {}, (2, 1): {}, (4, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (3, 0): {'bw': 0}, (2, 0): {'bw': 0}, (2, 1): {'bw': 0}, (4, 1): {'bw': 0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (2, 0): {}, (2, 1): {}, (4, 1): {}}}",[],-69.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,5.0
8,2,2,225.0,242.0,120789.33714247667,124361.15732296226,0.9297520661157025,0.9712786511691132,7,7,1,204.0,4331,2170,2161,0.037267080745341574,0.06813281586890896,7,1483.3552248166907,204.0,7,9,False,"{5: 6, 2: 2, 4: 13, 1: 14, 3: 0, 0: 21}","{(2, 5): [(2, 6)], (4, 2): [(13, 6), (6, 2)], (4, 5): [(13, 6)], (1, 2): [(14, 6), (6, 2)], (1, 5): [(14, 6)], (3, 4): [(0, 2), (2, 6), (6, 13)], (0, 4): [(21, 13)]}","{(5, 6): {'cpu': 16}, (2, 2): {'cpu': 19}, (4, 13): {'cpu': 10}, (1, 14): {'cpu': 16}, (3, 0): {'cpu': 17}, (0, 21): {'cpu': 5}}","{((2, 5), (2, 6)): {'bw': 30}, ((4, 2), (13, 6)): {'bw': 20}, ((4, 2), (6, 2)): {'bw': 20}, ((4, 5), (13, 6)): {'bw': 23}, ((1, 2), (14, 6)): {'bw': 8}, ((1, 2), (6, 2)): {'bw': 8}, ((1, 5), (14, 6)): {'bw': 32}, ((3, 4), (0, 2)): {'bw': 18}, ((3, 4), (2, 6)): {'bw': 18}, ((3, 4), (6, 13)): {'bw': 18}, ((0, 4), (21, 13)): {'bw': 15}}",0.0,0.0,170.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1700.0,"{'node_level': {'cpu': -58}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {5: {'cpu': -53}, 2: {'cpu': -28}, 4: {'cpu': -72}, 1: {'cpu': -54}, 3: {'cpu': -60}, 0: {'cpu': -71}, 6: {'cpu': -58}}, 'link_level': {(2, 5): {'bw': -53}, (4, 2): {'bw': -33}, (4, 5): {'bw': -28}, (1, 2): {'bw': -25}, (1, 5): {'bw': -24}, (3, 4): {'bw': -7}, (0, 4): {'bw': -56}, (6, 0): {'bw': 100.0}, (6, 3): {'bw': 100.0}}, 'path_level': {(2, 5): {}, (4, 2): {}, (4, 5): {}, (1, 2): {}, (1, 5): {}, (3, 4): {}, (0, 4): {}, (6, 0): {}, (6, 3): {}}}","{'node_level': {5: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(2, 5): {'bw': 0}, (4, 2): {'bw': 0}, (4, 5): {'bw': 0}, (1, 2): {'bw': 0}, (1, 5): {'bw': 0}, (3, 4): {'bw': 0}, (0, 4): {'bw': 0}, (6, 0): {'bw': 100.0}, (6, 3): {'bw': 100.0}}, 'path_level': {(2, 5): {}, (4, 2): {}, (4, 5): {}, (1, 2): {}, (1, 5): {}, (3, 4): {}, (0, 4): {}, (6, 0): {}, (6, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,17.0,6.0,7.0
9,2,2,225.0,242.0,120789.33714247667,124361.15732296226,0.9297520661157025,0.9712786511691132,7,8,1,224.0,4331,2170,2161,0.037267080745341574,0.06813281586890896,8,602.8400954844434,224.0,9,21,False,"{7: 6, 2: 2, 1: 13, 5: 14}","{(2, 7): [(2, 6)], (1, 2): [(13, 6), (6, 2)], (1, 7): [(13, 6)], (5, 2): [(14, 6), (6, 2)], (5, 7): [(14, 6)]}","{(7, 6): {'cpu': 18}, (2, 2): {'cpu': 11}, (1, 13): {'cpu': 12}, (5, 14): {'cpu': 12}}","{((2, 7), (2, 6)): {'bw': 43}, ((1, 2), (13, 6)): {'bw': 14}, ((1, 2), (6, 2)): {'bw': 14}, ((1, 7), (13, 6)): {'bw': 36}, ((5, 2), (14, 6)): {'bw': 22}, ((5, 2), (6, 2)): {'bw': 22}, ((5, 7), (14, 6)): {'bw': 1}}",0.0,0.0,168.0,84.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1900.0,"{'node_level': {'cpu': -51}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {7: {'cpu': -51}, 2: {'cpu': -36}, 1: {'cpu': -70}, 5: {'cpu': -58}, 3: {'cpu': -51}}, 'link_level': {(2, 7): {'bw': -40}, (1, 2): {'bw': -26}, (1, 7): {'bw': -21}, (5, 2): {'bw': -4}, (5, 7): {'bw': -41}, (3, 1): {'bw': 100.0}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 7): {}, (1, 2): {}, (1, 7): {}, (5, 2): {}, (5, 7): {}, (3, 1): {}, (3, 2): {}}}","{'node_level': {7: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 7): {'bw': 0}, (1, 2): {'bw': 0}, (1, 7): {'bw': 0}, (5, 2): {'bw': 0}, (5, 7): {'bw': 0}, (3, 1): {'bw': 100.0}, (3, 2): {'bw': 100.0}}, 'path_level': {(2, 7): {}, (1, 2): {}, (1, 7): {}, (5, 2): {}, (5, 7): {}, (3, 1): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,19.0,4.0,5.0
9,2,2,225.0,242.0,120789.33714247667,124361.15732296226,0.9297520661157025,0.9712786511691132,7,9,0,232.2257067570419,4331,2170,2161,0.037267080745341574,0.06813281586890896,3,131.2257067570419,101.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
10,2,2,225.0,242.0,120789.33714247667,124361.15732296226,0.9297520661157025,0.9712786511691132,7,10,1,249.0,4331,2170,2161,0.037267080745341574,0.06813281586890896,9,918.0472056090825,249.0,8,16,False,"{1: 6, 4: 2, 0: 13, 7: 14}","{(4, 1): [(2, 6)], (0, 1): [(13, 6)], (7, 1): [(14, 6)]}","{(1, 6): {'cpu': 17}, (4, 2): {'cpu': 7}, (0, 13): {'cpu': 9}, (7, 14): {'cpu': 10}}","{((4, 1), (2, 6)): {'bw': 13}, ((0, 1), (13, 6)): {'bw': 42}, ((7, 1), (14, 6)): {'bw': 1}}",0.0,0.0,130.0,65.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,1900.0,"{'node_level': {'cpu': -57}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -52}, 4: {'cpu': -40}, 0: {'cpu': -73}, 7: {'cpu': -60}, 3: {'cpu': -57}}, 'link_level': {(4, 1): {'bw': -70}, (0, 1): {'bw': -29}, (7, 1): {'bw': -63}, (3, 0): {'bw': 100.0}, (3, 1): {'bw': 100.0}, (3, 4): {'bw': 100.0}}, 'path_level': {(4, 1): {}, (0, 1): {}, (7, 1): {}, (3, 0): {}, (3, 1): {}, (3, 4): {}}}","{'node_level': {1: {'cpu': 0}, 4: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(4, 1): {'bw': 0}, (0, 1): {'bw': 0}, (7, 1): {'bw': 0}, (3, 0): {'bw': 100.0}, (3, 1): {'bw': 100.0}, (3, 4): {'bw': 100.0}}, 'path_level': {(4, 1): {}, (0, 1): {}, (7, 1): {}, (3, 0): {}, (3, 1): {}, (3, 4): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,19.0,4.0,3.0
11,3,3,255.0,272.0,121487.80934121468,125059.62952170028,0.9375,0.9714390631561417,8,11,1,278.0,4301,2140,2161,0.05057675244010651,0.06813281586890896,10,23.282406624600615,278.0,2,1,True,"{0: 6, 1: 2}","{(1, 0): [(2, 6)]}","{(0, 6): {'cpu': 16}, (1, 2): {'cpu': 14}}","{((1, 0), (2, 6)): {'bw': 0}}",30.0,30.0,60.0,30.0,0.0,30.0,0.0,30.0,0.0,0.0,1.0,698.4721987380184,698.4721987380184,23.282406624600615,Success,0.0,"{'node_level': {'cpu': -33}, 'link_level': {'bw': -83}, 'path_level': {}}","{'node_level': {0: {'cpu': -53}, 1: {'cpu': -33}}, 'link_level': {(1, 0): {'bw': -83}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-33.0,0.0,True,True,False,0,[],0,0.0,0.0,2.0,1.0
11,3,2,255.0,272.0,121487.80934121468,125059.62952170028,0.9375,0.9714390631561417,8,12,0,301.28240662460064,4331,2170,2161,0.037267080745341574,0.06813281586890896,10,23.282406624600615,278.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
12,3,2,255.0,272.0,121487.80934121468,125059.62952170028,0.9375,0.9714390631561417,8,13,1,302.0,4331,2170,2161,0.037267080745341574,0.06813281586890896,11,28.624730725574967,302.0,6,9,False,"{3: 6, 4: 2, 5: 0, 2: 21, 1: 29, 0: 1}","{(4, 3): [(2, 6)], (5, 3): [(0, 2), (2, 6)], (5, 4): [(0, 2)], (2, 3): [(21, 13), (13, 6)], (1, 4): [(29, 13), (13, 6), (6, 2)], (1, 5): [(29, 13), (13, 6), (6, 2), (2, 0)], (0, 1): [(1, 0), (0, 2), (2, 6), (6, 13), (13, 29)], (0, 4): [(1, 0), (0, 2)], (0, 5): [(1, 0)]}","{(3, 6): {'cpu': 20}, (4, 2): {'cpu': 15}, (5, 0): {'cpu': 8}, (2, 21): {'cpu': 3}, (1, 29): {'cpu': 9}, (0, 1): {'cpu': 2}}","{((4, 3), (2, 6)): {'bw': 49}, ((5, 3), (0, 2)): {'bw': 2}, ((5, 3), (2, 6)): {'bw': 2}, ((5, 4), (0, 2)): {'bw': 37}, ((2, 3), (21, 13)): {'bw': 43}, ((2, 3), (13, 6)): {'bw': 43}, ((1, 4), (29, 13)): {'bw': 0}, ((1, 4), (13, 6)): {'bw': 0}, ((1, 4), (6, 2)): {'bw': 0}, ((1, 5), (29, 13)): {'bw': 6}, ((1, 5), (13, 6)): {'bw': 6}, ((1, 5), (6, 2)): {'bw': 6}, ((1, 5), (2, 0)): {'bw': 6}, ((0, 1), (1, 0)): {'bw': 5}, ((0, 1), (0, 2)): {'bw': 5}, ((0, 1), (2, 6)): {'bw': 5}, ((0, 1), (6, 13)): {'bw': 5}, ((0, 1), (13, 29)): {'bw': 5}, ((0, 4), (1, 0)): {'bw': 17}, ((0, 4), (0, 2)): {'bw': 17}, ((0, 5), (1, 0)): {'bw': 15}}",0.0,0.0,114.0,57.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,500.0,"{'node_level': {'cpu': -54}, 'link_level': {'bw': -17}, 'path_level': {}}","{'node_level': {3: {'cpu': -49}, 4: {'cpu': -32}, 5: {'cpu': -69}, 2: {'cpu': -73}, 1: {'cpu': -87}, 0: {'cpu': -54}}, 'link_level': {(4, 3): {'bw': -34}, (5, 3): {'bw': -32}, (5, 4): {'bw': -53}, (2, 3): {'bw': -28}, (1, 4): {'bw': -28}, (1, 5): {'bw': -22}, (0, 1): {'bw': -17}, (0, 4): {'bw': -25}, (0, 5): {'bw': -32}}, 'path_level': {(4, 3): {}, (5, 3): {}, (5, 4): {}, (2, 3): {}, (1, 4): {}, (1, 5): {}, (0, 1): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(4, 3): {'bw': 0}, (5, 3): {'bw': 0}, (5, 4): {'bw': 0}, (2, 3): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}}, 'path_level': {(4, 3): {}, (5, 3): {}, (5, 4): {}, (2, 3): {}, (1, 4): {}, (1, 5): {}, (0, 1): {}, (0, 4): {}, (0, 5): {}}}",[],-17.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0,9.0
12,3,2,255.0,272.0,121487.80934121468,125059.62952170028,0.9375,0.9714390631561417,8,14,0,330.624730725575,4331,2170,2161,0.037267080745341574,0.06813281586890896,11,28.624730725574967,302.0,6,9,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
