v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,12.0,10585.0,1285,9300.0,0.0,0.0,0,488.1163639801385,12.0,13,32,False,{},{},{},{},0.0,0.0,410.0,205.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.892371892929077,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,26.0,10585.0,1285,9300.0,0.0,0.0,1,168.62474273572116,26.0,13,43,False,{},{},{},{},0.0,0.0,468.0,234.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.269037008285522,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,40.0,10585.0,1285,9300.0,0.0,0.0,2,837.7406401933645,40.0,11,29,False,{},{},{},{},0.0,0.0,336.0,168.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.754599332809448,0.0,0.0
4,1,1,627.0,3029.0,247469.92223104325,1195512.5908099362,0.20699900957411688,0.20699900957411688,7,3,1,50.0,7556.0,1194,6362.0,0.07081712062256806,0.31591397849462366,3,394.6888711818872,50.0,7,15,True,"{1: 15, 6: 16, 4: 19, 5: 23, 3: 24, 2: 25, 0: 26}","{(0, 1): [(1, 3), (3, 7), (4, 1), (7, 15), (10, 4), (26, 10)], (0, 2): [(4, 9), (9, 25), (10, 4), (26, 10)], (0, 3): [(1, 3), (3, 8), (4, 1), (8, 24), (10, 4), (26, 10)], (0, 4): [(0, 2), (1, 0), (2, 5), (4, 1), (5, 11), (10, 4), (11, 19), (26, 10)], (0, 6): [(1, 3), (3, 8), (4, 1), (8, 16), (10, 4), (26, 10)], (1, 2): [(1, 4), (3, 1), (4, 9), (7, 3), (9, 25), (15, 7)], (1, 3): [(3, 8), (7, 3), (8, 24), (15, 7)], (1, 5): [(7, 23), (15, 7)], (2, 3): [(1, 3), (3, 8), (4, 1), (8, 24), (9, 4), (25, 9)], (2, 5): [(1, 3), (3, 7), (4, 1), (7, 23), (9, 4), (25, 9)], (2, 6): [(1, 3), (3, 8), (4, 1), (8, 16), (9, 4), (25, 9)], (3, 5): [(3, 7), (7, 23), (8, 3), (24, 8)], (3, 6): [(8, 16), (24, 8)], (4, 5): [(0, 1), (1, 3), (2, 0), (3, 7), (5, 2), (7, 23), (11, 5), (19, 11)], (4, 6): [(0, 1), (1, 3), (2, 0), (3, 8), (5, 2), (8, 16), (11, 5), (19, 11)]}","{(1, 15): {'cpu': 26}, (6, 16): {'cpu': 18}, (4, 19): {'cpu': 5}, (5, 23): {'cpu': 12}, (3, 24): {'cpu': 5}, (2, 25): {'cpu': 18}, (0, 26): {'cpu': 7}}","{((0, 1), (1, 3)): {'bw': 10.0}, ((0, 1), (3, 7)): {'bw': 10.0}, ((0, 1), (4, 1)): {'bw': 10.0}, ((0, 1), (7, 15)): {'bw': 10.0}, ((0, 1), (10, 4)): {'bw': 10.0}, ((0, 1), (26, 10)): {'bw': 10.0}, ((0, 2), (4, 9)): {'bw': 58.0}, ((0, 2), (9, 25)): {'bw': 58.0}, ((0, 2), (10, 4)): {'bw': 58.0}, ((0, 2), (26, 10)): {'bw': 58.0}, ((0, 3), (1, 3)): {'bw': 11.0}, ((0, 3), (3, 8)): {'bw': 11.0}, ((0, 3), (4, 1)): {'bw': 11.0}, ((0, 3), (8, 24)): {'bw': 11.0}, ((0, 3), (10, 4)): {'bw': 11.0}, ((0, 3), (26, 10)): {'bw': 11.0}, ((0, 4), (0, 2)): {'bw': 33.0}, ((0, 4), (1, 0)): {'bw': 33.0}, ((0, 4), (2, 5)): {'bw': 33.0}, ((0, 4), (4, 1)): {'bw': 33.0}, ((0, 4), (5, 11)): {'bw': 33.0}, ((0, 4), (10, 4)): {'bw': 33.0}, ((0, 4), (11, 19)): {'bw': 33.0}, ((0, 4), (26, 10)): {'bw': 33.0}, ((0, 6), (1, 3)): {'bw': 36.0}, ((0, 6), (3, 8)): {'bw': 36.0}, ((0, 6), (4, 1)): {'bw': 36.0}, ((0, 6), (8, 16)): {'bw': 36.0}, ((0, 6), (10, 4)): {'bw': 36.0}, ((0, 6), (26, 10)): {'bw': 36.0}, ((1, 2), (1, 4)): {'bw': 33.0}, ((1, 2), (3, 1)): {'bw': 33.0}, ((1, 2), (4, 9)): {'bw': 33.0}, ((1, 2), (7, 3)): {'bw': 33.0}, ((1, 2), (9, 25)): {'bw': 33.0}, ((1, 2), (15, 7)): {'bw': 33.0}, ((1, 3), (3, 8)): {'bw': 43.0}, ((1, 3), (7, 3)): {'bw': 43.0}, ((1, 3), (8, 24)): {'bw': 43.0}, ((1, 3), (15, 7)): {'bw': 43.0}, ((1, 5), (7, 23)): {'bw': 30.0}, ((1, 5), (15, 7)): {'bw': 30.0}, ((2, 3), (1, 3)): {'bw': 21.0}, ((2, 3), (3, 8)): {'bw': 21.0}, ((2, 3), (4, 1)): {'bw': 21.0}, ((2, 3), (8, 24)): {'bw': 21.0}, ((2, 3), (9, 4)): {'bw': 21.0}, ((2, 3), (25, 9)): {'bw': 21.0}, ((2, 5), (1, 3)): {'bw': 65.0}, ((2, 5), (3, 7)): {'bw': 65.0}, ((2, 5), (4, 1)): {'bw': 65.0}, ((2, 5), (7, 23)): {'bw': 65.0}, ((2, 5), (9, 4)): {'bw': 65.0}, ((2, 5), (25, 9)): {'bw': 65.0}, ((2, 6), (1, 3)): {'bw': 34.0}, ((2, 6), (3, 8)): {'bw': 34.0}, ((2, 6), (4, 1)): {'bw': 34.0}, ((2, 6), (8, 16)): {'bw': 34.0}, ((2, 6), (9, 4)): {'bw': 34.0}, ((2, 6), (25, 9)): {'bw': 34.0}, ((3, 5), (3, 7)): {'bw': 22.0}, ((3, 5), (7, 23)): {'bw': 22.0}, ((3, 5), (8, 3)): {'bw': 22.0}, ((3, 5), (24, 8)): {'bw': 22.0}, ((3, 6), (8, 16)): {'bw': 43.0}, ((3, 6), (24, 8)): {'bw': 43.0}, ((4, 5), (0, 1)): {'bw': 58.0}, ((4, 5), (1, 3)): {'bw': 58.0}, ((4, 5), (2, 0)): {'bw': 58.0}, ((4, 5), (3, 7)): {'bw': 58.0}, ((4, 5), (5, 2)): {'bw': 58.0}, ((4, 5), (7, 23)): {'bw': 58.0}, ((4, 5), (11, 5)): {'bw': 58.0}, ((4, 5), (19, 11)): {'bw': 58.0}, ((4, 6), (0, 1)): {'bw': 39.0}, ((4, 6), (1, 3)): {'bw': 39.0}, ((4, 6), (2, 0)): {'bw': 39.0}, ((4, 6), (3, 8)): {'bw': 39.0}, ((4, 6), (5, 2)): {'bw': 39.0}, ((4, 6), (8, 16)): {'bw': 39.0}, ((4, 6), (11, 5)): {'bw': 39.0}, ((4, 6), (19, 11)): {'bw': 39.0}}",3029.0,627.0,182.0,91.0,536.0,91.0,536.0,91.0,2938.0,2402.0,0.20699900957411688,1195512.5908099362,247469.92223104325,81.70020542457685,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.407915115356445,7.0,15.0
5,1,1,627.0,3029.0,247469.92223104325,1195512.5908099362,0.20699900957411688,0.20699900957411688,7,4,1,62.0,7556.0,1194,6362.0,0.07081712062256806,0.31591397849462366,4,9.219494684323037,62.0,13,34,False,{},{},{},{},0.0,0.0,512.0,256.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.025085926055908,0.0,0.0
5,1,1,627.0,3029.0,247469.92223104325,1195512.5908099362,0.20699900957411688,0.20699900957411688,7,5,0,71.21949468432304,7556.0,1194,6362.0,0.07081712062256806,0.31591397849462366,4,9.219494684323037,62.0,13,34,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
6,1,1,627.0,3029.0,247469.92223104325,1195512.5908099362,0.20699900957411688,0.20699900957411688,7,6,1,74.0,7556.0,1194,6362.0,0.07081712062256806,0.31591397849462366,5,8.120722555973291,74.0,12,31,False,{},{},{},{},0.0,0.0,488.0,244.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.835148096084595,0.0,0.0
6,1,1,627.0,3029.0,247469.92223104325,1195512.5908099362,0.20699900957411688,0.20699900957411688,7,7,0,82.12072255597329,7556.0,1194,6362.0,0.07081712062256806,0.31591397849462366,5,8.120722555973291,74.0,12,31,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
7,2,2,1012.0,4078.0,773749.1105588499,2629452.5091368686,0.24816086316821973,0.29426243975512495,13,8,1,83.0,6507.0,1051,5456.0,0.18210116731517512,0.41333333333333333,6,1366.9589307215756,83.0,7,8,True,"{0: 19, 6: 20, 4: 21, 3: 22, 5: 27, 2: 28, 1: 30}","{(0, 1): [(2, 6), (5, 2), (6, 14), (11, 5), (14, 30), (19, 11)], (0, 3): [(2, 6), (5, 2), (6, 14), (11, 5), (14, 22), (19, 11)], (0, 5): [(11, 27), (19, 11)], (1, 3): [(14, 22), (30, 14)], (1, 5): [(2, 5), (5, 11), (6, 2), (11, 27), (14, 6), (30, 14)], (2, 5): [(5, 11), (11, 27), (12, 5), (28, 12)], (3, 4): [(6, 13), (13, 21), (14, 6), (22, 14)], (3, 6): [(2, 5), (5, 12), (6, 2), (12, 20), (14, 6), (22, 14)]}","{(0, 19): {'cpu': 22}, (6, 20): {'cpu': 25}, (4, 21): {'cpu': 15}, (3, 22): {'cpu': 20}, (5, 27): {'cpu': 24}, (2, 28): {'cpu': 22}, (1, 30): {'cpu': 15}}","{((0, 1), (2, 6)): {'bw': 19.0}, ((0, 1), (5, 2)): {'bw': 19.0}, ((0, 1), (6, 14)): {'bw': 19.0}, ((0, 1), (11, 5)): {'bw': 19.0}, ((0, 1), (14, 30)): {'bw': 19.0}, ((0, 1), (19, 11)): {'bw': 19.0}, ((0, 3), (2, 6)): {'bw': 12.0}, ((0, 3), (5, 2)): {'bw': 12.0}, ((0, 3), (6, 14)): {'bw': 12.0}, ((0, 3), (11, 5)): {'bw': 12.0}, ((0, 3), (14, 22)): {'bw': 12.0}, ((0, 3), (19, 11)): {'bw': 12.0}, ((0, 5), (11, 27)): {'bw': 44.0}, ((0, 5), (19, 11)): {'bw': 44.0}, ((1, 3), (14, 22)): {'bw': 66.0}, ((1, 3), (30, 14)): {'bw': 66.0}, ((1, 5), (2, 5)): {'bw': 19.0}, ((1, 5), (5, 11)): {'bw': 19.0}, ((1, 5), (6, 2)): {'bw': 19.0}, ((1, 5), (11, 27)): {'bw': 19.0}, ((1, 5), (14, 6)): {'bw': 19.0}, ((1, 5), (30, 14)): {'bw': 19.0}, ((2, 5), (5, 11)): {'bw': 40.0}, ((2, 5), (11, 27)): {'bw': 40.0}, ((2, 5), (12, 5)): {'bw': 40.0}, ((2, 5), (28, 12)): {'bw': 40.0}, ((3, 4), (6, 13)): {'bw': 13.0}, ((3, 4), (13, 21)): {'bw': 13.0}, ((3, 4), (14, 6)): {'bw': 13.0}, ((3, 4), (22, 14)): {'bw': 13.0}, ((3, 6), (2, 5)): {'bw': 29.0}, ((3, 6), (5, 12)): {'bw': 29.0}, ((3, 6), (6, 2)): {'bw': 29.0}, ((3, 6), (12, 20)): {'bw': 29.0}, ((3, 6), (14, 6)): {'bw': 29.0}, ((3, 6), (22, 14)): {'bw': 29.0}}",1049.0,385.0,286.0,143.0,242.0,143.0,242.0,143.0,906.0,664.0,0.36701620591039086,1433939.9183269327,526279.1883278067,501.6960803887575,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.257436990737915,7.0,8.0
8,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,9,1,98.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,7,247.62845728030277,98.0,6,12,True,"{5: 21, 0: 22, 1: 23, 3: 28, 4: 29, 2: 30}","{(0, 2): [(14, 30), (22, 14)], (0, 3): [(2, 5), (5, 12), (6, 2), (12, 28), (14, 6), (22, 14)], (0, 4): [(6, 13), (13, 29), (14, 6), (22, 14)], (0, 5): [(6, 13), (13, 21), (14, 6), (22, 14)], (1, 2): [(0, 2), (1, 0), (2, 6), (3, 1), (6, 14), (7, 3), (14, 30), (23, 7)], (1, 4): [(0, 2), (1, 0), (2, 6), (3, 1), (6, 13), (7, 3), (13, 29), (23, 7)], (2, 3): [(2, 5), (5, 12), (6, 2), (12, 28), (14, 6), (30, 14)], (2, 4): [(6, 13), (13, 29), (14, 6), (30, 14)], (2, 5): [(6, 13), (13, 21), (14, 6), (30, 14)], (3, 4): [(2, 6), (5, 2), (6, 13), (12, 5), (13, 29), (28, 12)], (3, 5): [(2, 6), (5, 2), (6, 13), (12, 5), (13, 21), (28, 12)], (4, 5): [(13, 21), (29, 13)]}","{(5, 21): {'cpu': 11}, (0, 22): {'cpu': 28}, (1, 23): {'cpu': 11}, (3, 28): {'cpu': 17}, (4, 29): {'cpu': 11}, (2, 30): {'cpu': 26}}","{((0, 2), (14, 30)): {'bw': 53.0}, ((0, 2), (22, 14)): {'bw': 53.0}, ((0, 3), (2, 5)): {'bw': 31.0}, ((0, 3), (5, 12)): {'bw': 31.0}, ((0, 3), (6, 2)): {'bw': 31.0}, ((0, 3), (12, 28)): {'bw': 31.0}, ((0, 3), (14, 6)): {'bw': 31.0}, ((0, 3), (22, 14)): {'bw': 31.0}, ((0, 4), (6, 13)): {'bw': 13.0}, ((0, 4), (13, 29)): {'bw': 13.0}, ((0, 4), (14, 6)): {'bw': 13.0}, ((0, 4), (22, 14)): {'bw': 13.0}, ((0, 5), (6, 13)): {'bw': 11.0}, ((0, 5), (13, 21)): {'bw': 11.0}, ((0, 5), (14, 6)): {'bw': 11.0}, ((0, 5), (22, 14)): {'bw': 11.0}, ((1, 2), (0, 2)): {'bw': 16.0}, ((1, 2), (1, 0)): {'bw': 16.0}, ((1, 2), (2, 6)): {'bw': 16.0}, ((1, 2), (3, 1)): {'bw': 16.0}, ((1, 2), (6, 14)): {'bw': 16.0}, ((1, 2), (7, 3)): {'bw': 16.0}, ((1, 2), (14, 30)): {'bw': 16.0}, ((1, 2), (23, 7)): {'bw': 16.0}, ((1, 4), (0, 2)): {'bw': 38.0}, ((1, 4), (1, 0)): {'bw': 38.0}, ((1, 4), (2, 6)): {'bw': 38.0}, ((1, 4), (3, 1)): {'bw': 38.0}, ((1, 4), (6, 13)): {'bw': 38.0}, ((1, 4), (7, 3)): {'bw': 38.0}, ((1, 4), (13, 29)): {'bw': 38.0}, ((1, 4), (23, 7)): {'bw': 38.0}, ((2, 3), (2, 5)): {'bw': 27.0}, ((2, 3), (5, 12)): {'bw': 27.0}, ((2, 3), (6, 2)): {'bw': 27.0}, ((2, 3), (12, 28)): {'bw': 27.0}, ((2, 3), (14, 6)): {'bw': 27.0}, ((2, 3), (30, 14)): {'bw': 27.0}, ((2, 4), (6, 13)): {'bw': 34.0}, ((2, 4), (13, 29)): {'bw': 34.0}, ((2, 4), (14, 6)): {'bw': 34.0}, ((2, 4), (30, 14)): {'bw': 34.0}, ((2, 5), (6, 13)): {'bw': 21.0}, ((2, 5), (13, 21)): {'bw': 21.0}, ((2, 5), (14, 6)): {'bw': 21.0}, ((2, 5), (30, 14)): {'bw': 21.0}, ((3, 4), (2, 6)): {'bw': 48.0}, ((3, 4), (5, 2)): {'bw': 48.0}, ((3, 4), (6, 13)): {'bw': 48.0}, ((3, 4), (12, 5)): {'bw': 48.0}, ((3, 4), (13, 29)): {'bw': 48.0}, ((3, 4), (28, 12)): {'bw': 48.0}, ((3, 5), (2, 6)): {'bw': 50.0}, ((3, 5), (5, 2)): {'bw': 50.0}, ((3, 5), (6, 13)): {'bw': 50.0}, ((3, 5), (12, 5)): {'bw': 50.0}, ((3, 5), (13, 21)): {'bw': 50.0}, ((3, 5), (28, 12)): {'bw': 50.0}, ((4, 5), (13, 21)): {'bw': 70.0}, ((4, 5), (29, 13)): {'bw': 70.0}}",2034.0,516.0,208.0,104.0,412.0,104.0,412.0,104.0,1930.0,1518.0,0.2536873156342183,503676.2821081358,127776.28395663622,62.82019860208271,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.250452995300293,6.0,12.0
9,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,10,1,108.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,8,1207.6278746761773,108.0,10,20,False,{},{},{},{},0.0,0.0,298.0,149.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.53178095817566,0.0,0.0
10,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,11,1,117.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,9,855.9163303747499,117.0,15,58,False,{},{},{},{},0.0,0.0,548.0,274.0,2259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,11.780931234359741,0.0,0.0
11,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,12,1,135.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,10,47.35888240239732,135.0,9,16,False,{},{},{},{},0.0,0.0,326.0,163.0,674.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.41579270362854,0.0,0.0
12,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,13,1,146.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,11,221.77067947495215,146.0,9,17,False,{},{},{},{},0.0,0.0,362.0,181.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.441333055496216,0.0,0.0
13,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,14,1,152.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,12,9.583829451074376,152.0,10,28,False,{},{},{},{},0.0,0.0,328.0,164.0,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.694553136825562,0.0,0.0
13,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,15,0,161.58382945107437,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,12,9.583829451074376,152.0,10,28,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
14,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,16,1,167.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,13,298.9427939113125,167.0,12,33,False,{},{},{},{},0.0,0.0,410.0,205.0,1219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.938461065292358,0.0,0.0
14,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,17,0,182.3588824023973,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,10,47.35888240239732,135.0,9,16,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
15,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,18,1,184.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,14,15.419460745736803,184.0,8,17,False,{},{},{},{},0.0,0.0,242.0,121.0,710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.367491006851196,0.0,0.0
16,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,19,1,194.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,15,157.59787552138852,194.0,11,21,False,{},{},{},{},0.0,0.0,444.0,222.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.63241982460022,0.0,0.0
16,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,20,0,194.62474273572116,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,1,168.62474273572116,26.0,13,43,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
16,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,21,0,199.4194607457368,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,14,15.419460745736803,184.0,8,17,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
17,3,3,1528.0,6112.0,901525.3945154861,3133128.7912450046,0.25,0.2877396540591135,14,22,1,210.0,4473.0,947,3526.0,0.26303501945525287,0.6208602150537634,16,1.2929588110513002,210.0,9,16,False,{},{},{},{},0.0,0.0,312.0,156.0,691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,10.360047101974487,0.0,0.0
