v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,solving_time,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,9.0,10495,1133,9362,0.0,0.0,0,229.08644071126173,9.0,10,19,False,{},{},{},{},0.0,0.0,364.0,182.0,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.39050984382629395,0.0,0.0
2,1,1,283.0,869.0,81003.31101569248,248734.54866656102,0.3256616800920598,0.3256616800920598,5,1,1,15.0,9626,1038,8588,0.08384819064430715,0.08267464217047638,1,286.2307809741784,15.0,5,5,True,"{np.int64(0): np.int64(24), np.int64(1): np.int64(15), np.int64(2): np.int64(28), np.int64(3): np.int64(20), np.int64(4): np.int64(23)}","{(0, 2): [(np.int64(24), 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 28)], (0, 4): [(np.int64(24), 8), (8, 3), (3, 7), (7, 23)], (1, 4): [(np.int64(15), 7), (7, 23)], (2, 3): [(np.int64(28), 12), (12, 20)], (2, 4): [(np.int64(28), 12), (12, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 23)]}","{(np.int64(0), np.int64(24)): {'cpu': 17}, (np.int64(1), np.int64(15)): {'cpu': 12}, (np.int64(2), np.int64(28)): {'cpu': 26}, (np.int64(3), np.int64(20)): {'cpu': 18}, (np.int64(4), np.int64(23)): {'cpu': 22}}","{((0, 2), (np.int64(24), 8)): {'bw': 36}, ((0, 2), (8, 3)): {'bw': 36}, ((0, 2), (3, 1)): {'bw': 36}, ((0, 2), (1, 0)): {'bw': 36}, ((0, 2), (0, 2)): {'bw': 36}, ((0, 2), (2, 5)): {'bw': 36}, ((0, 2), (5, 12)): {'bw': 36}, ((0, 2), (12, 28)): {'bw': 36}, ((0, 4), (np.int64(24), 8)): {'bw': 61}, ((0, 4), (8, 3)): {'bw': 61}, ((0, 4), (3, 7)): {'bw': 61}, ((0, 4), (7, 23)): {'bw': 61}, ((1, 4), (np.int64(15), 7)): {'bw': 22}, ((1, 4), (7, 23)): {'bw': 22}, ((2, 3), (np.int64(28), 12)): {'bw': 59}, ((2, 3), (12, 20)): {'bw': 59}, ((2, 4), (np.int64(28), 12)): {'bw': 10}, ((2, 4), (12, 5)): {'bw': 10}, ((2, 4), (5, 2)): {'bw': 10}, ((2, 4), (2, 0)): {'bw': 10}, ((2, 4), (0, 1)): {'bw': 10}, ((2, 4), (1, 3)): {'bw': 10}, ((2, 4), (3, 7)): {'bw': 10}, ((2, 4), (7, 23)): {'bw': 10}}",869.0,283.0,855.0,95.0,188.0,95.0,188.0,95.0,774.0,586.0,0.3256616800920598,248734.54866656102,81003.31101569248,93.21439702611333,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -58}, np.int64(1): {'cpu': -50}, np.int64(2): {'cpu': -44}, np.int64(3): {'cpu': -78}, np.int64(4): {'cpu': -65}}, 'link_level': {(0, 2): {'bw': -195}, (0, 4): {'bw': -134}, (1, 4): {'bw': -244}, (2, 3): {'bw': -233}, (2, 4): {'bw': -158}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.21117281913757324,5.0,5.0
3,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,2,1,25.0,8361,957,7404,0.15533980582524276,0.2091433454390088,2,1112.4573138889418,25.0,8,8,True,"{np.int64(0): np.int64(28), np.int64(1): np.int64(18), np.int64(2): np.int64(19), np.int64(3): np.int64(17), np.int64(4): np.int64(24), np.int64(5): np.int64(26), np.int64(6): np.int64(27), np.int64(7): np.int64(25)}","{(0, 2): [(np.int64(28), 12), (12, 5), (5, 11), (11, 19)], (1, 5): [(np.int64(18), 10), (10, 26)], (1, 7): [(np.int64(18), 10), (10, 4), (4, 9), (9, 25)], (2, 4): [(np.int64(19), 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 3), (3, 8), (8, 24)], (2, 5): [(np.int64(19), 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 26)], (2, 6): [(np.int64(19), 11), (11, 27)], (3, 5): [(np.int64(17), 9), (9, 4), (4, 10), (10, 26)], (3, 6): [(np.int64(17), 9), (9, 4), (4, 1), (1, 0), (0, 2), (2, 5), (5, 11), (11, 27)]}","{(np.int64(0), np.int64(28)): {'cpu': 6}, (np.int64(1), np.int64(18)): {'cpu': 9}, (np.int64(2), np.int64(19)): {'cpu': 15}, (np.int64(3), np.int64(17)): {'cpu': 15}, (np.int64(4), np.int64(24)): {'cpu': 5}, (np.int64(5), np.int64(26)): {'cpu': 7}, (np.int64(6), np.int64(27)): {'cpu': 6}, (np.int64(7), np.int64(25)): {'cpu': 18}}","{((0, 2), (np.int64(28), 12)): {'bw': 29}, ((0, 2), (12, 5)): {'bw': 29}, ((0, 2), (5, 11)): {'bw': 29}, ((0, 2), (11, 19)): {'bw': 29}, ((1, 5), (np.int64(18), 10)): {'bw': 57}, ((1, 5), (10, 26)): {'bw': 57}, ((1, 7), (np.int64(18), 10)): {'bw': 27}, ((1, 7), (10, 4)): {'bw': 27}, ((1, 7), (4, 9)): {'bw': 27}, ((1, 7), (9, 25)): {'bw': 27}, ((2, 4), (np.int64(19), 11)): {'bw': 46}, ((2, 4), (11, 5)): {'bw': 46}, ((2, 4), (5, 2)): {'bw': 46}, ((2, 4), (2, 0)): {'bw': 46}, ((2, 4), (0, 1)): {'bw': 46}, ((2, 4), (1, 3)): {'bw': 46}, ((2, 4), (3, 8)): {'bw': 46}, ((2, 4), (8, 24)): {'bw': 46}, ((2, 5), (np.int64(19), 11)): {'bw': 17}, ((2, 5), (11, 5)): {'bw': 17}, ((2, 5), (5, 2)): {'bw': 17}, ((2, 5), (2, 0)): {'bw': 17}, ((2, 5), (0, 1)): {'bw': 17}, ((2, 5), (1, 4)): {'bw': 17}, ((2, 5), (4, 10)): {'bw': 17}, ((2, 5), (10, 26)): {'bw': 17}, ((2, 6), (np.int64(19), 11)): {'bw': 63}, ((2, 6), (11, 27)): {'bw': 63}, ((3, 5), (np.int64(17), 9)): {'bw': 16}, ((3, 5), (9, 4)): {'bw': 16}, ((3, 5), (4, 10)): {'bw': 16}, ((3, 5), (10, 26)): {'bw': 16}, ((3, 6), (np.int64(17), 9)): {'bw': 19}, ((3, 6), (9, 4)): {'bw': 19}, ((3, 6), (4, 1)): {'bw': 19}, ((3, 6), (1, 0)): {'bw': 19}, ((3, 6), (0, 2)): {'bw': 19}, ((3, 6), (2, 5)): {'bw': 19}, ((3, 6), (5, 11)): {'bw': 19}, ((3, 6), (11, 27)): {'bw': 19}}",1265.0,355.0,729.0,81.0,274.0,81.0,274.0,81.0,1184.0,910.0,0.28063241106719367,1407258.5020695115,394922.34643057437,312.19157820598764,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -38}, np.int64(1): {'cpu': -80}, np.int64(2): {'cpu': -58}, np.int64(3): {'cpu': -73}, np.int64(4): {'cpu': -53}, np.int64(5): {'cpu': -51}, np.int64(6): {'cpu': -53}, np.int64(7): {'cpu': -45}}, 'link_level': {(0, 2): {'bw': -157}, (1, 5): {'bw': -257}, (1, 7): {'bw': -230}, (2, 4): {'bw': -88}, (2, 5): {'bw': -136}, (2, 6): {'bw': -73}, (3, 5): {'bw': -282}, (3, 6): {'bw': -151}}, 'path_level': {(0, 2): {}, (1, 5): {}, (1, 7): {}, (2, 4): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 5): {'bw': 0}, (1, 7): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 5): {}, (1, 7): {}, (2, 4): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.29540300369262695,8.0,8.0
4,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,3,1,46.0,8361,957,7404,0.15533980582524276,0.2091433454390088,3,820.4487818661993,46.0,8,11,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1}",{},{},{},0.0,0.0,288.0,144.0,397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.18023109436035156,8.0,0.0
5,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,4,1,59.0,8361,957,7404,0.15533980582524276,0.2091433454390088,4,608.5097442615911,59.0,12,37,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1}",{},{},{},0.0,0.0,396.0,198.0,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.28233814239501953,12.0,0.0
6,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,5,1,73.0,8361,957,7404,0.15533980582524276,0.2091433454390088,5,52.806322226643935,73.0,14,44,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1, 12: -1, 13: -1}",{},{},{},0.0,0.0,588.0,294.0,1765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.2286820411682129,14.0,0.0
7,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,6,1,81.0,8361,957,7404,0.15533980582524276,0.2091433454390088,6,1259.641069775272,81.0,8,19,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1}",{},{},{},0.0,0.0,270.0,135.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.26078295707702637,8.0,0.0
8,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,7,1,102.0,8361,957,7404,0.15533980582524276,0.2091433454390088,7,626.3037644993012,102.0,10,26,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,338.0,169.0,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.23934602737426758,10.0,0.0
9,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,8,1,120.0,8361,957,7404,0.15533980582524276,0.2091433454390088,8,3382.696867019862,120.0,7,11,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1}",{},{},{},0.0,0.0,288.0,144.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.23432302474975586,7.0,0.0
9,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,9,0,125.80632222664394,8361,957,7404,0.15533980582524276,0.2091433454390088,5,52.806322226643935,73.0,14,44,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
10,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,10,1,132.0,8361,957,7404,0.15533980582524276,0.2091433454390088,9,80.9350433491308,132.0,9,13,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1}",{},{},{},0.0,0.0,402.0,201.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.22527217864990234,9.0,0.0
11,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,11,1,144.0,8361,957,7404,0.15533980582524276,0.2091433454390088,10,1012.9543963709864,144.0,12,31,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1}",{},{},{},0.0,0.0,430.0,215.0,1253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.19229793548583984,12.0,0.0
12,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,12,1,155.0,8361,957,7404,0.15533980582524276,0.2091433454390088,11,88.66278955559326,155.0,11,29,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1}",{},{},{},0.0,0.0,500.0,250.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.21864795684814453,11.0,0.0
13,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,13,1,170.0,8361,957,7404,0.15533980582524276,0.2091433454390088,12,477.98320782443494,170.0,13,46,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1, 12: -1}",{},{},{},0.0,0.0,464.0,232.0,1779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.21386504173278809,13.0,0.0
14,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,14,1,181.0,8361,957,7404,0.15533980582524276,0.2091433454390088,13,66.09185506373058,181.0,13,40,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1, 12: -1}",{},{},{},0.0,0.0,532.0,266.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.2471160888671875,13.0,0.0
15,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,15,1,195.0,8361,957,7404,0.15533980582524276,0.2091433454390088,14,941.9644499396782,195.0,15,61,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1, 12: -1, 13: -1, 14: -1}",{},{},{},0.0,0.0,566.0,283.0,2251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.2810068130493164,15.0,0.0
15,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,16,0,212.9350433491308,8361,957,7404,0.15533980582524276,0.2091433454390088,9,80.9350433491308,132.0,9,13,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
16,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,17,1,216.0,8361,957,7404,0.15533980582524276,0.2091433454390088,15,823.3595465336216,216.0,6,9,False,{},{},{},{},0.0,0.0,224.0,112.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.223222017288208,0.0,0.0
17,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,18,1,229.0,8361,957,7404,0.15533980582524276,0.2091433454390088,16,420.940474241238,229.0,11,22,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1}",{},{},{},0.0,0.0,492.0,246.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.200592041015625,11.0,0.0
17,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,19,0,238.08644071126173,8361,957,7404,0.15533980582524276,0.2091433454390088,0,229.08644071126173,9.0,10,19,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
18,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,20,1,242.0,8361,957,7404,0.15533980582524276,0.2091433454390088,17,261.43501466384834,242.0,12,37,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1}",{},{},{},0.0,0.0,406.0,203.0,1599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.22995901107788086,12.0,0.0
18,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,21,0,243.66278955559326,8361,957,7404,0.15533980582524276,0.2091433454390088,11,88.66278955559326,155.0,11,29,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
18,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,22,0,247.09185506373058,8361,957,7404,0.15533980582524276,0.2091433454390088,13,66.09185506373058,181.0,13,40,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
19,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,23,1,250.0,8361,957,7404,0.15533980582524276,0.2091433454390088,18,35.83769496321958,250.0,12,32,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1}",{},{},{},0.0,0.0,394.0,197.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.19245004653930664,12.0,0.0
20,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,24,1,261.0,8361,957,7404,0.15533980582524276,0.2091433454390088,19,597.7192842743137,261.0,13,29,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1, 10: -1, 11: -1, 12: -1}",{},{},{},0.0,0.0,506.0,253.0,1371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.2481529712677002,13.0,0.0
21,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,25,1,273.0,8361,957,7404,0.15533980582524276,0.2091433454390088,20,302.14953814842096,273.0,6,9,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1}",{},{},{},0.0,0.0,194.0,97.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.19127702713012695,6.0,0.0
21,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,26,0,285.8376949632196,8361,957,7404,0.15533980582524276,0.2091433454390088,18,35.83769496321958,250.0,12,32,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
22,2,2,638.0,2134.0,475925.65744626685,1655993.0507360725,0.29896907216494845,0.28739592671280995,11,27,1,290.0,8361,957,7404,0.15533980582524276,0.2091433454390088,21,640.1670916942813,290.0,10,22,False,"{0: -1, 1: -1, 2: -1, 3: -1, 4: -1, 5: -1, 6: -1, 7: -1, 8: -1, 9: -1}",{},{},{},0.0,0.0,340.0,170.0,811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.21048188209533691,10.0,0.0
