v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,1,1,435.0,1292.0,144078.9674482312,427931.09412210283,0.336687306501548,0.336687306501548,9,0,1,25.0,4862,1219,3643,0.06518404907975461,0.24886597938144328,0,331.2160171223706,25.0,9,18,True,"{0: 0, 1: 8, 2: 11, 3: 3, 4: 14, 5: 6, 6: 13, 7: 15, 8: 9}","{(1, 0): [(8, 6), (6, 10), (10, 0)], (2, 0): [(11, 8), (8, 6), (6, 10), (10, 0)], (3, 0): [(3, 6), (6, 10), (10, 0)], (3, 1): [(3, 6), (6, 8)], (4, 0): [(14, 4), (4, 6), (6, 10), (10, 0)], (5, 0): [(6, 10), (10, 0)], (5, 1): [(6, 8)], (6, 0): [(13, 1), (1, 0)], (6, 1): [(13, 2), (2, 6), (6, 8)], (6, 5): [(13, 2), (2, 6)], (7, 1): [(15, 3), (3, 6), (6, 8)], (7, 2): [(15, 3), (3, 6), (6, 8), (8, 11)], (7, 5): [(15, 3), (3, 6)], (8, 1): [(9, 13), (13, 2), (2, 6), (6, 8)], (8, 2): [(9, 13), (13, 2), (2, 6), (6, 8), (8, 11)], (8, 3): [(9, 13), (13, 2), (2, 6), (6, 3)], (8, 4): [(9, 13), (13, 2), (2, 6), (6, 4), (4, 14)], (8, 7): [(9, 13), (13, 2), (2, 6), (6, 3), (3, 15)]}","{(0, 0): {'cpu': 13}, (1, 8): {'cpu': 0}, (2, 11): {'cpu': 4}, (3, 3): {'cpu': 11}, (4, 14): {'cpu': 10}, (5, 6): {'cpu': 14}, (6, 13): {'cpu': 16}, (7, 15): {'cpu': 4}, (8, 9): {'cpu': 13}}","{((1, 0), (8, 6)): {'bw': 4}, ((1, 0), (6, 10)): {'bw': 4}, ((1, 0), (10, 0)): {'bw': 4}, ((2, 0), (11, 8)): {'bw': 29}, ((2, 0), (8, 6)): {'bw': 29}, ((2, 0), (6, 10)): {'bw': 29}, ((2, 0), (10, 0)): {'bw': 29}, ((3, 0), (3, 6)): {'bw': 12}, ((3, 0), (6, 10)): {'bw': 12}, ((3, 0), (10, 0)): {'bw': 12}, ((3, 1), (3, 6)): {'bw': 36}, ((3, 1), (6, 8)): {'bw': 36}, ((4, 0), (14, 4)): {'bw': 18}, ((4, 0), (4, 6)): {'bw': 18}, ((4, 0), (6, 10)): {'bw': 18}, ((4, 0), (10, 0)): {'bw': 18}, ((5, 0), (6, 10)): {'bw': 2}, ((5, 0), (10, 0)): {'bw': 2}, ((5, 1), (6, 8)): {'bw': 24}, ((6, 0), (13, 1)): {'bw': 24}, ((6, 0), (1, 0)): {'bw': 24}, ((6, 1), (13, 2)): {'bw': 2}, ((6, 1), (2, 6)): {'bw': 2}, ((6, 1), (6, 8)): {'bw': 2}, ((6, 5), (13, 2)): {'bw': 37}, ((6, 5), (2, 6)): {'bw': 37}, ((7, 1), (15, 3)): {'bw': 2}, ((7, 1), (3, 6)): {'bw': 2}, ((7, 1), (6, 8)): {'bw': 2}, ((7, 2), (15, 3)): {'bw': 15}, ((7, 2), (3, 6)): {'bw': 15}, ((7, 2), (6, 8)): {'bw': 15}, ((7, 2), (8, 11)): {'bw': 15}, ((7, 5), (15, 3)): {'bw': 1}, ((7, 5), (3, 6)): {'bw': 1}, ((8, 1), (9, 13)): {'bw': 8}, ((8, 1), (13, 2)): {'bw': 8}, ((8, 1), (2, 6)): {'bw': 8}, ((8, 1), (6, 8)): {'bw': 8}, ((8, 2), (9, 13)): {'bw': 15}, ((8, 2), (13, 2)): {'bw': 15}, ((8, 2), (2, 6)): {'bw': 15}, ((8, 2), (6, 8)): {'bw': 15}, ((8, 2), (8, 11)): {'bw': 15}, ((8, 3), (9, 13)): {'bw': 37}, ((8, 3), (13, 2)): {'bw': 37}, ((8, 3), (2, 6)): {'bw': 37}, ((8, 3), (6, 3)): {'bw': 37}, ((8, 4), (9, 13)): {'bw': 35}, ((8, 4), (13, 2)): {'bw': 35}, ((8, 4), (2, 6)): {'bw': 35}, ((8, 4), (6, 4)): {'bw': 35}, ((8, 4), (4, 14)): {'bw': 35}, ((8, 7), (9, 13)): {'bw': 49}, ((8, 7), (13, 2)): {'bw': 49}, ((8, 7), (2, 6)): {'bw': 49}, ((8, 7), (6, 3)): {'bw': 49}, ((8, 7), (3, 15)): {'bw': 49}}",1292.0,435.0,170.0,85.0,350.0,85.0,350.0,85.0,1207.0,857.0,0.336687306501548,427931.09412210283,144078.9674482312,111.51622867510156,Success,0.0,"{'node_level': {'cpu': -82}, 'link_level': {'bw': -17}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -89}, 2: {'cpu': -86}, 3: {'cpu': -79}, 4: {'cpu': -84}, 5: {'cpu': -86}, 6: {'cpu': -84}, 7: {'cpu': -84}, 8: {'cpu': -82}}, 'link_level': {(1, 0): {'bw': -226}, (2, 0): {'bw': -197}, (3, 0): {'bw': -207}, (3, 1): {'bw': -161}, (4, 0): {'bw': -189}, (5, 0): {'bw': -187}, (5, 1): {'bw': -137}, (6, 0): {'bw': -302}, (6, 1): {'bw': -135}, (6, 5): {'bw': -161}, (7, 1): {'bw': -133}, (7, 2): {'bw': -118}, (7, 5): {'bw': -283}, (8, 1): {'bw': -110}, (8, 2): {'bw': -95}, (8, 3): {'bw': -101}, (8, 4): {'bw': -66}, (8, 7): {'bw': -17}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 0): {}, (3, 1): {}, (4, 0): {}, (5, 0): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (7, 1): {}, (7, 2): {}, (7, 5): {}, (8, 1): {}, (8, 2): {}, (8, 3): {}, (8, 4): {}, (8, 7): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 0): {'bw': 0}, (5, 0): {'bw': 0}, (5, 1): {'bw': 0}, (6, 0): {'bw': 0}, (6, 1): {'bw': 0}, (6, 5): {'bw': 0}, (7, 1): {'bw': 0}, (7, 2): {'bw': 0}, (7, 5): {'bw': 0}, (8, 1): {'bw': 0}, (8, 2): {'bw': 0}, (8, 3): {'bw': 0}, (8, 4): {'bw': 0}, (8, 7): {'bw': 0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 0): {}, (3, 1): {}, (4, 0): {}, (5, 0): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (7, 1): {}, (7, 2): {}, (7, 5): {}, (8, 1): {}, (8, 2): {}, (8, 3): {}, (8, 4): {}, (8, 7): {}}}",[],-17.0,0.0,True,True,False,0,[],0,0.0,9.0,18.0,4
2,1,1,435.0,1292.0,144078.9674482312,427931.09412210283,0.336687306501548,0.336687306501548,9,1,1,49.0,4862,1219,3643,0.06518404907975461,0.24886597938144328,1,259.7764327387954,49.0,7,11,False,"{0: 13, 1: 8, 2: 15, 3: 0, 4: 11, 5: 12, 6: 1}","{(3, 1): [(0, 10), (10, 6), (6, 8)], (3, 2): [(0, 10), (10, 6), (6, 3), (3, 15)], (4, 1): [(11, 8)], (4, 2): [(11, 8), (8, 6), (6, 3), (3, 15)], (5, 1): [(12, 2), (2, 6), (6, 8)], (5, 3): [(12, 2), (2, 13), (13, 1), (1, 0)], (6, 0): [(1, 13)], (6, 2): [(1, 0), (0, 10), (10, 6), (6, 3), (3, 15)], (6, 3): [(1, 0)], (6, 4): [(1, 0), (0, 10), (10, 6), (6, 8), (8, 11)], (6, 5): []}","{(0, 13): {'cpu': 9}, (1, 8): {'cpu': 17}, (2, 15): {'cpu': 1}, (3, 0): {'cpu': 1}, (4, 11): {'cpu': 14}, (5, 12): {'cpu': 14}, (6, 1): {'cpu': 14}}","{((3, 1), (0, 10)): {'bw': 20}, ((3, 1), (10, 6)): {'bw': 20}, ((3, 1), (6, 8)): {'bw': 20}, ((3, 2), (0, 10)): {'bw': 9}, ((3, 2), (10, 6)): {'bw': 9}, ((3, 2), (6, 3)): {'bw': 9}, ((3, 2), (3, 15)): {'bw': 9}, ((4, 1), (11, 8)): {'bw': 14}, ((4, 2), (11, 8)): {'bw': 19}, ((4, 2), (8, 6)): {'bw': 19}, ((4, 2), (6, 3)): {'bw': 19}, ((4, 2), (3, 15)): {'bw': 19}, ((5, 1), (12, 2)): {'bw': 17}, ((5, 1), (2, 6)): {'bw': 17}, ((5, 1), (6, 8)): {'bw': 17}, ((5, 3), (12, 2)): {'bw': 28}, ((5, 3), (2, 13)): {'bw': 28}, ((5, 3), (13, 1)): {'bw': 28}, ((5, 3), (1, 0)): {'bw': 28}, ((6, 0), (1, 13)): {'bw': 15}, ((6, 2), (1, 0)): {'bw': 36}, ((6, 2), (0, 10)): {'bw': 36}, ((6, 2), (10, 6)): {'bw': 36}, ((6, 2), (6, 3)): {'bw': 36}, ((6, 2), (3, 15)): {'bw': 36}, ((6, 3), (1, 0)): {'bw': 34}, ((6, 4), (1, 0)): {'bw': 10}, ((6, 4), (0, 10)): {'bw': 10}, ((6, 4), (10, 6)): {'bw': 10}, ((6, 4), (6, 8)): {'bw': 10}, ((6, 4), (8, 11)): {'bw': 10}}",0.0,0.0,140.0,70.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -41}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -72}, 2: {'cpu': -83}, 3: {'cpu': -82}, 4: {'cpu': -72}, 5: {'cpu': -72}, 6: {'cpu': -41}}, 'link_level': {(3, 1): {'bw': -75}, (3, 2): {'bw': -158}, (4, 1): {'bw': -176}, (4, 2): {'bw': -56}, (5, 1): {'bw': 0}, (5, 3): {'bw': -10}, (6, 0): {'bw': -264}, (6, 2): {'bw': -122}, (6, 3): {'bw': -204}, (6, 4): {'bw': -29}, (6, 5): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (3, 2): {}, (4, 1): {}, (4, 2): {}, (5, 1): {}, (5, 3): {}, (6, 0): {}, (6, 2): {}, (6, 3): {}, (6, 4): {}, (6, 5): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 0}, (5, 1): {'bw': 0}, (5, 3): {'bw': 0}, (6, 0): {'bw': 0}, (6, 2): {'bw': 0}, (6, 3): {'bw': 0}, (6, 4): {'bw': 0}, (6, 5): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (3, 2): {}, (4, 1): {}, (4, 2): {}, (5, 1): {}, (5, 3): {}, (6, 0): {}, (6, 2): {}, (6, 3): {}, (6, 4): {}, (6, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,7.0,11.0,4
3,2,2,543.0,1482.0,308019.6311779296,716345.2247576832,0.36639676113360325,0.4299876938275436,9,2,1,70.0,4672,1201,3471,0.07898773006134974,0.28432989690721644,2,1517.9691086083183,70.0,3,2,True,"{0: 6, 1: 8, 2: 0}","{(1, 0): [(8, 6)], (2, 1): [(0, 10), (10, 6), (6, 8)]}","{(0, 6): {'cpu': 0}, (1, 8): {'cpu': 15}, (2, 0): {'cpu': 3}}","{((1, 0), (8, 6)): {'bw': 49}, ((2, 1), (0, 10)): {'bw': 41}, ((2, 1), (10, 6)): {'bw': 41}, ((2, 1), (6, 8)): {'bw': 41}}",190.0,108.0,36.0,18.0,90.0,18.0,90.0,18.0,172.0,82.0,0.5684210526315789,288414.13063558046,163940.66372969837,862.8455985773599,Success,0.0,"{'node_level': {'cpu': -80}, 'link_level': {'bw': -5}, 'path_level': {}}","{'node_level': {0: {'cpu': -86}, 1: {'cpu': -74}, 2: {'cpu': -80}}, 'link_level': {(1, 0): {'bw': -46}, (2, 1): {'bw': -5}}, 'path_level': {(1, 0): {}, (2, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}}, 'path_level': {(1, 0): {}, (2, 1): {}}}",[],-5.0,0.0,True,True,False,0,[],0,0.0,3.0,2.0,4
4,2,2,543.0,1482.0,308019.6311779296,716345.2247576832,0.36639676113360325,0.4299876938275436,9,3,1,102.0,4672,1201,3471,0.07898773006134974,0.28432989690721644,3,8.310489934272583,102.0,10,27,False,"{0: 0, 1: 13, 2: 12, 3: 15, 4: 1, 5: 10}","{(1, 0): [(13, 1), (1, 0)], (3, 0): [(15, 3), (3, 6), (6, 10), (10, 0)], (3, 1): [(15, 3), (3, 6), (6, 10), (10, 0), (0, 1), (1, 13)], (4, 1): [(1, 13)], (4, 3): [(1, 0), (0, 10), (10, 6), (6, 3), (3, 15)], (5, 1): []}","{(0, 0): {'cpu': 5}, (1, 13): {'cpu': 13}, (2, 12): {'cpu': 20}, (3, 15): {'cpu': 18}, (4, 1): {'cpu': 2}, (5, 10): {'cpu': 2}}","{((1, 0), (13, 1)): {'bw': 18}, ((1, 0), (1, 0)): {'bw': 18}, ((3, 0), (15, 3)): {'bw': 48}, ((3, 0), (3, 6)): {'bw': 48}, ((3, 0), (6, 10)): {'bw': 48}, ((3, 0), (10, 0)): {'bw': 48}, ((3, 1), (15, 3)): {'bw': 44}, ((3, 1), (3, 6)): {'bw': 44}, ((3, 1), (6, 10)): {'bw': 44}, ((3, 1), (10, 0)): {'bw': 44}, ((3, 1), (0, 1)): {'bw': 44}, ((3, 1), (1, 13)): {'bw': 44}, ((4, 1), (1, 13)): {'bw': 31}, ((4, 3), (1, 0)): {'bw': 12}, ((4, 3), (0, 10)): {'bw': 12}, ((4, 3), (10, 6)): {'bw': 12}, ((4, 3), (6, 3)): {'bw': 12}, ((4, 3), (3, 15)): {'bw': 12}}",0.0,0.0,208.0,104.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -78}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -75}, 1: {'cpu': -71}, 2: {'cpu': -66}, 3: {'cpu': -66}, 4: {'cpu': -53}, 5: {'cpu': -78}}, 'link_level': {(1, 0): {'bw': -284}, (3, 0): {'bw': -98}, (3, 1): {'bw': -54}, (4, 1): {'bw': -214}, (4, 3): {'bw': -42}, (5, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (3, 1): {}, (4, 1): {}, (4, 3): {}, (5, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 0}, (5, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 0): {}, (3, 1): {}, (4, 1): {}, (4, 3): {}, (5, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,6.0,6.0,4
4,2,2,543.0,1482.0,308019.6311779296,716345.2247576832,0.36639676113360325,0.4299876938275436,9,4,0,110.31048993427258,4672,1201,3471,0.07898773006134974,0.28432989690721644,3,8.310489934272583,102.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
5,2,2,543.0,1482.0,308019.6311779296,716345.2247576832,0.36639676113360325,0.4299876938275436,9,5,1,122.0,4672,1201,3471,0.07898773006134974,0.28432989690721644,4,187.9773938487999,122.0,9,24,False,"{0: 14, 1: 15, 2: 12, 3: 0, 4: 6}","{(1, 0): [(15, 3), (3, 6), (6, 4), (4, 14)], (2, 0): [(12, 2), (2, 13), (13, 1), (1, 0), (0, 10), (10, 6), (6, 4), (4, 14)], (3, 0): [(0, 10), (10, 6), (6, 4), (4, 14)], (3, 1): [(0, 10), (10, 6), (6, 3), (3, 15)], (3, 2): [(0, 10), (10, 6), (6, 2), (2, 12)], (4, 2): []}","{(0, 14): {'cpu': 5}, (1, 15): {'cpu': 3}, (2, 12): {'cpu': 7}, (3, 0): {'cpu': 3}, (4, 6): {'cpu': 10}}","{((1, 0), (15, 3)): {'bw': 3}, ((1, 0), (3, 6)): {'bw': 3}, ((1, 0), (6, 4)): {'bw': 3}, ((1, 0), (4, 14)): {'bw': 3}, ((2, 0), (12, 2)): {'bw': 31}, ((2, 0), (2, 13)): {'bw': 31}, ((2, 0), (13, 1)): {'bw': 31}, ((2, 0), (1, 0)): {'bw': 31}, ((2, 0), (0, 10)): {'bw': 31}, ((2, 0), (10, 6)): {'bw': 31}, ((2, 0), (6, 4)): {'bw': 31}, ((2, 0), (4, 14)): {'bw': 31}, ((3, 0), (0, 10)): {'bw': 7}, ((3, 0), (10, 6)): {'bw': 7}, ((3, 0), (6, 4)): {'bw': 7}, ((3, 0), (4, 14)): {'bw': 7}, ((3, 1), (0, 10)): {'bw': 48}, ((3, 1), (10, 6)): {'bw': 48}, ((3, 1), (6, 3)): {'bw': 48}, ((3, 1), (3, 15)): {'bw': 48}, ((3, 2), (0, 10)): {'bw': 10}, ((3, 2), (10, 6)): {'bw': 10}, ((3, 2), (6, 2)): {'bw': 10}, ((3, 2), (2, 12)): {'bw': 10}}",0.0,0.0,132.0,66.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -76}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -79}, 1: {'cpu': -81}, 2: {'cpu': -79}, 3: {'cpu': -77}, 4: {'cpu': -76}}, 'link_level': {(1, 0): {'bw': -194}, (2, 0): {'bw': -7}, (3, 0): {'bw': -108}, (3, 1): {'bw': -60}, (3, 2): {'bw': -7}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (3, 0): {}, (3, 1): {}, (3, 2): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0,4
6,2,2,543.0,1482.0,308019.6311779296,716345.2247576832,0.36639676113360325,0.4299876938275436,9,6,1,144.0,4672,1201,3471,0.07898773006134974,0.28432989690721644,5,2308.465490617315,144.0,10,14,False,"{0: 9, 1: 13, 2: 15, 3: 14, 4: 5}","{(2, 1): [(15, 3), (3, 6), (6, 2), (2, 13)], (3, 2): [(14, 4), (4, 6), (6, 3), (3, 15)], (4, 0): []}","{(0, 9): {'cpu': 5}, (1, 13): {'cpu': 12}, (2, 15): {'cpu': 11}, (3, 14): {'cpu': 10}, (4, 5): {'cpu': 8}}","{((2, 1), (15, 3)): {'bw': 12}, ((2, 1), (3, 6)): {'bw': 12}, ((2, 1), (6, 2)): {'bw': 12}, ((2, 1), (2, 13)): {'bw': 12}, ((3, 2), (14, 4)): {'bw': 48}, ((3, 2), (4, 6)): {'bw': 48}, ((3, 2), (6, 3)): {'bw': 48}, ((3, 2), (3, 15)): {'bw': 48}}",0.0,0.0,176.0,88.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -50}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -77}, 1: {'cpu': -72}, 2: {'cpu': -73}, 3: {'cpu': -74}, 4: {'cpu': -50}}, 'link_level': {(2, 1): {'bw': -5}, (3, 2): {'bw': -137}, (4, 0): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 2): {}, (4, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (3, 2): {}, (4, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,3.0,4
7,3,3,648.0,1739.0,421132.48428004445,993202.3985409548,0.3726279470960322,0.42401476768350654,10,7,1,172.0,4415,1158,3257,0.1119631901840491,0.32845360824742265,6,1077.265267639189,172.0,4,4,True,"{0: 12, 1: 6, 2: 13, 3: 0}","{(1, 0): [(6, 2), (2, 12)], (2, 1): [(13, 1), (1, 0), (0, 10), (10, 6)], (3, 0): [(0, 1), (1, 13), (13, 2), (2, 12)], (3, 2): [(0, 1), (1, 13)]}","{(0, 12): {'cpu': 20}, (1, 6): {'cpu': 9}, (2, 13): {'cpu': 0}, (3, 0): {'cpu': 14}}","{((1, 0), (6, 2)): {'bw': 6}, ((1, 0), (2, 12)): {'bw': 6}, ((2, 1), (13, 1)): {'bw': 25}, ((2, 1), (1, 0)): {'bw': 25}, ((2, 1), (0, 10)): {'bw': 25}, ((2, 1), (10, 6)): {'bw': 25}, ((3, 0), (0, 1)): {'bw': 20}, ((3, 0), (1, 13)): {'bw': 20}, ((3, 0), (13, 2)): {'bw': 20}, ((3, 0), (2, 12)): {'bw': 20}, ((3, 2), (0, 1)): {'bw': 11}, ((3, 2), (1, 13)): {'bw': 11}}",257.0,105.0,86.0,43.0,62.0,43.0,62.0,43.0,214.0,152.0,0.4085603112840467,276857.1737832716,113112.85310211485,440.12783308215893,Success,0.0,"{'node_level': {'cpu': -66}, 'link_level': {'bw': -18}, 'path_level': {}}","{'node_level': {0: {'cpu': -66}, 1: {'cpu': -77}, 2: {'cpu': -84}, 3: {'cpu': -66}}, 'link_level': {(1, 0): {'bw': -11}, (2, 1): {'bw': -121}, (3, 0): {'bw': -18}, (3, 2): {'bw': -246}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (3, 2): {}}}",[],-18.0,0.0,True,True,False,0,[],0,0.0,4.0,4.0,4
8,3,3,648.0,1739.0,421132.48428004445,993202.3985409548,0.3726279470960322,0.42401476768350654,10,8,1,204.0,4415,1158,3257,0.1119631901840491,0.32845360824742265,7,10.071946596146812,204.0,9,18,False,"{0: 11, 1: 3, 2: 14, 3: 10}","{(3, 0): []}","{(0, 11): {'cpu': 19}, (1, 3): {'cpu': 2}, (2, 14): {'cpu': 12}, (3, 10): {'cpu': 10}}",{},0.0,0.0,144.0,72.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -70}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -67}, 1: {'cpu': -77}, 2: {'cpu': -72}, 3: {'cpu': -70}}, 'link_level': {(3, 0): {'bw': 100.0}}, 'path_level': {(3, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 100.0}}, 'path_level': {(3, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,1.0,4
8,3,3,648.0,1739.0,421132.48428004445,993202.3985409548,0.3726279470960322,0.42401476768350654,10,9,0,214.0719465961468,4415,1158,3257,0.1119631901840491,0.32845360824742265,7,10.071946596146812,204.0,9,18,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,4
9,3,3,648.0,1739.0,421132.48428004445,993202.3985409548,0.3726279470960322,0.42401476768350654,10,10,1,225.0,4415,1158,3257,0.1119631901840491,0.32845360824742265,8,54.23558363605139,225.0,9,18,False,"{0: 14, 1: 10, 2: 8}","{(1, 0): [(10, 6), (6, 4), (4, 14)], (2, 0): []}","{(0, 14): {'cpu': 17}, (1, 10): {'cpu': 11}, (2, 8): {'cpu': 0}}","{((1, 0), (10, 6)): {'bw': 45}, ((1, 0), (6, 4)): {'bw': 45}, ((1, 0), (4, 14)): {'bw': 45}}",0.0,0.0,194.0,97.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -74}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -67}, 1: {'cpu': -69}, 2: {'cpu': -74}}, 'link_level': {(1, 0): {'bw': -158}, (2, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,3.0,2.0,4
