v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links,seed
1,1,1,303.0,411.0,8464.31337992964,11481.296366835251,0.7372262773722628,0.7372262773722629,7,0,1,22.0,5931.0,1106,4825.0,0.04655172413793107,0.06889231956773445,0,27.93502765653346,22.0,7,8,True,"{5: 1, 6: 6, 4: 7, 1: 9, 3: 10, 0: 11, 2: 12}","{(0, 3): [(11, 10)], (0, 4): [(11, 7)], (0, 6): [(1, 6), (7, 1), (11, 7)], (1, 3): [(9, 10)], (1, 4): [(9, 7)], (2, 4): [(12, 7)], (3, 4): [(9, 7), (10, 9)], (5, 6): [(1, 6)]}","{(5, 1): {'cpu': 4}, (6, 6): {'cpu': 7}, (4, 7): {'cpu': 19}, (1, 9): {'cpu': 3}, (3, 10): {'cpu': 1}, (0, 11): {'cpu': 17}, (2, 12): {'cpu': 3}}","{((0, 3), (11, 10)): {'bw': 42.0}, ((0, 4), (11, 7)): {'bw': 10.0}, ((0, 6), (1, 6)): {'bw': 29.0}, ((0, 6), (7, 1)): {'bw': 29.0}, ((0, 6), (11, 7)): {'bw': 29.0}, ((1, 3), (9, 10)): {'bw': 49.0}, ((1, 4), (9, 7)): {'bw': 29.0}, ((2, 4), (12, 7)): {'bw': 24.0}, ((3, 4), (9, 7)): {'bw': 50.0}, ((3, 4), (10, 9)): {'bw': 50.0}, ((5, 6), (1, 6)): {'bw': 16.0}}",411.0,303.0,108.0,54.0,249.0,54.0,249.0,54.0,357.0,108.0,0.7372262773722628,11481.296366835251,8464.31337992964,20.594436447517367,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,8.0,0
2,2,2,341.0,449.0,12703.958321368384,15720.941308273996,0.7594654788418709,0.8080914540837474,9,1,1,49.0,5893.0,1102,4791.0,0.050000000000000044,0.07545349285989966,1,111.56960372207224,49.0,2,1,True,"{0: 0, 1: 8}","{(0, 1): [(0, 8)]}","{(0, 0): {'cpu': 0}, (1, 8): {'cpu': 4}}","{((0, 1), (0, 8)): {'bw': 34.0}}",38.0,38.0,8.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0,0
2,2,1,341.0,449.0,12703.958321368384,15720.941308273996,0.7594654788418709,0.8080914540837474,9,2,0,49.935027656533464,6304.0,1156,5148.0,0.0034482758620689724,0.006561173292165212,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
3,3,2,542.0,683.0,14582.853133758059,17908.31138836944,0.7935578330893118,0.8143064311037667,10,3,1,68.0,6070.0,1119,4951.0,0.03534482758620694,0.0445773832497105,2,9.347735385023263,68.0,5,6,True,"{4: 0, 0: 1, 3: 6, 2: 8, 1: 15}","{(0, 1): [(1, 6), (6, 15)], (0, 3): [(1, 6)], (1, 3): [(15, 6)], (1, 4): [(6, 0), (15, 6)], (2, 4): [(8, 0)], (3, 4): [(6, 0)]}","{(4, 0): {'cpu': 19}, (0, 1): {'cpu': 13}, (3, 6): {'cpu': 2}, (2, 8): {'cpu': 2}, (1, 15): {'cpu': 1}}","{((0, 1), (1, 6)): {'bw': 12.0}, ((0, 1), (6, 15)): {'bw': 12.0}, ((0, 3), (1, 6)): {'bw': 30.0}, ((1, 3), (15, 6)): {'bw': 39.0}, ((1, 4), (6, 0)): {'bw': 21.0}, ((1, 4), (15, 6)): {'bw': 21.0}, ((2, 4), (8, 0)): {'bw': 13.0}, ((3, 4), (6, 0)): {'bw': 49.0}}",234.0,201.0,74.0,37.0,164.0,37.0,164.0,37.0,197.0,33.0,0.8589743589743589,2187.3700800954434,1878.894812389676,8.02946501021229,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,0
3,3,1,542.0,683.0,14582.853133758059,17908.31138836944,0.7935578330893118,0.8143064311037667,10,4,0,77.34773538502327,6304.0,1156,5148.0,0.0034482758620689724,0.006561173292165212,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
4,4,2,739.0,890.0,170056.50668700924,181274.02857376536,0.8303370786516854,0.938118427802296,11,5,1,105.0,6097.0,1107,4990.0,0.045689655172413746,0.03705133153222695,3,789.206363214473,105.0,5,5,True,"{1: 0, 2: 1, 4: 6, 3: 7, 0: 14}","{(0, 2): [(14, 1)], (0, 4): [(1, 6), (14, 1)], (1, 4): [(0, 6)], (2, 3): [(1, 7)], (2, 4): [(1, 6)]}","{(1, 0): {'cpu': 12}, (2, 1): {'cpu': 17}, (4, 6): {'cpu': 1}, (3, 7): {'cpu': 0}, (0, 14): {'cpu': 19}}","{((0, 2), (14, 1)): {'bw': 36.0}, ((0, 4), (1, 6)): {'bw': 10.0}, ((0, 4), (14, 1)): {'bw': 10.0}, ((1, 4), (0, 6)): {'bw': 42.0}, ((2, 3), (1, 7)): {'bw': 32.0}, ((2, 4), (1, 6)): {'bw': 28.0}}",207.0,197.0,98.0,49.0,148.0,49.0,148.0,49.0,158.0,10.0,0.9516908212560387,163365.71718539592,155473.65355325118,751.0804519480733,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0,0
5,5,3,1037.0,1301.0,207828.85778089848,233369.45239788777,0.7970791698693312,0.890557250083257,12,6,1,131.0,5686.0,1023,4663.0,0.11810344827586206,0.10015438054805093,4,126.75285601976255,131.0,9,10,True,"{2: 1, 7: 3, 3: 6, 0: 7, 5: 8, 4: 9, 8: 10, 1: 11, 6: 12}","{(0, 2): [(7, 1)], (1, 4): [(7, 9), (11, 7)], (1, 6): [(7, 12), (11, 7)], (1, 8): [(11, 10)], (2, 3): [(1, 6)], (2, 4): [(1, 7), (7, 9)], (2, 7): [(1, 7), (7, 9), (9, 3)], (2, 8): [(1, 7), (7, 9), (9, 10)], (4, 7): [(9, 3)], (5, 6): [(8, 12)]}","{(2, 1): {'cpu': 13}, (7, 3): {'cpu': 7}, (3, 6): {'cpu': 19}, (0, 7): {'cpu': 2}, (5, 8): {'cpu': 17}, (4, 9): {'cpu': 15}, (8, 10): {'cpu': 6}, (1, 11): {'cpu': 1}, (6, 12): {'cpu': 4}}","{((0, 2), (7, 1)): {'bw': 9.0}, ((1, 4), (7, 9)): {'bw': 15.0}, ((1, 4), (11, 7)): {'bw': 15.0}, ((1, 6), (7, 12)): {'bw': 18.0}, ((1, 6), (11, 7)): {'bw': 18.0}, ((1, 8), (11, 10)): {'bw': 29.0}, ((2, 3), (1, 6)): {'bw': 42.0}, ((2, 4), (1, 7)): {'bw': 18.0}, ((2, 4), (7, 9)): {'bw': 18.0}, ((2, 7), (1, 7)): {'bw': 2.0}, ((2, 7), (7, 9)): {'bw': 2.0}, ((2, 7), (9, 3)): {'bw': 2.0}, ((2, 8), (1, 7)): {'bw': 29.0}, ((2, 8), (7, 9)): {'bw': 29.0}, ((2, 8), (9, 10)): {'bw': 29.0}, ((4, 7), (9, 3)): {'bw': 17.0}, ((5, 6), (8, 12)): {'bw': 35.0}}",411.0,298.0,168.0,84.0,214.0,84.0,214.0,84.0,327.0,113.0,0.7250608272506083,52095.42382412241,37772.351093889236,91.90353064206627,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,10.0,0
6,6,4,1224.0,1493.0,247440.79706408316,274040.5344426549,0.8198258539852645,0.9029350258980101,13,7,1,155.0,5494.0,960,4534.0,0.1724137931034483,0.1250482439212659,5,211.82855231649557,155.0,5,6,True,"{0: 1, 2: 4, 4: 7, 1: 9, 3: 11}","{(0, 2): [(1, 7), (7, 4)], (0, 4): [(1, 7)], (1, 2): [(7, 4), (9, 7)], (1, 4): [(9, 7)], (2, 4): [(4, 7)], (3, 4): [(11, 7)]}","{(0, 1): {'cpu': 19}, (2, 4): {'cpu': 12}, (4, 7): {'cpu': 13}, (1, 9): {'cpu': 16}, (3, 11): {'cpu': 3}}","{((0, 2), (1, 7)): {'bw': 2.0}, ((0, 2), (7, 4)): {'bw': 2.0}, ((0, 4), (1, 7)): {'bw': 20.0}, ((1, 2), (7, 4)): {'bw': 3.0}, ((1, 2), (9, 7)): {'bw': 3.0}, ((1, 4), (9, 7)): {'bw': 17.0}, ((2, 4), (4, 7)): {'bw': 44.0}, ((3, 4), (11, 7)): {'bw': 38.0}}",192.0,187.0,126.0,63.0,124.0,63.0,124.0,63.0,129.0,5.0,0.9739583333333334,40671.08204476715,39611.93928318467,206.31218376658686,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0,0
6,6,3,1224.0,1493.0,247440.79706408316,274040.5344426549,0.8198258539852645,0.9029350258980101,13,8,0,160.56960372207226,5532.0,964,4568.0,0.16896551724137931,0.11848707062910069,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
7,7,4,1527.0,1894.0,646221.9564392483,801800.4186322299,0.8062302006335798,0.805963605683346,14,9,1,181.0,5131.0,902,4229.0,0.22241379310344822,0.18390582786568888,6,1316.109436881733,181.0,7,9,True,"{2: 1, 0: 6, 6: 7, 4: 8, 1: 11, 5: 12, 3: 13}","{(0, 2): [(6, 1)], (1, 2): [(7, 1), (11, 7)], (1, 6): [(11, 7)], (2, 3): [(1, 7), (7, 13)], (2, 5): [(1, 7), (7, 12)], (2, 6): [(1, 7)], (3, 5): [(7, 12), (13, 7)], (3, 6): [(13, 7)], (4, 5): [(8, 12)]}","{(2, 1): {'cpu': 5}, (0, 6): {'cpu': 10}, (6, 7): {'cpu': 4}, (4, 8): {'cpu': 8}, (1, 11): {'cpu': 10}, (5, 12): {'cpu': 15}, (3, 13): {'cpu': 10}}","{((0, 2), (6, 1)): {'bw': 22.0}, ((1, 2), (7, 1)): {'bw': 37.0}, ((1, 2), (11, 7)): {'bw': 37.0}, ((1, 6), (11, 7)): {'bw': 35.0}, ((2, 3), (1, 7)): {'bw': 30.0}, ((2, 3), (7, 13)): {'bw': 30.0}, ((2, 5), (1, 7)): {'bw': 7.0}, ((2, 5), (7, 12)): {'bw': 7.0}, ((2, 6), (1, 7)): {'bw': 24.0}, ((3, 5), (7, 12)): {'bw': 24.0}, ((3, 5), (13, 7)): {'bw': 24.0}, ((3, 6), (13, 7)): {'bw': 47.0}, ((4, 5), (8, 12)): {'bw': 15.0}}",401.0,303.0,124.0,62.0,241.0,62.0,241.0,62.0,339.0,98.0,0.7556109725685786,527759.884189575,398781.1593751651,994.4667316088905,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,9.0,0
8,8,5,1701.0,2093.0,752257.2790903159,923070.701434313,0.8127090301003345,0.814950878542046,14,10,1,214.0,4932.0,853,4079.0,0.2646551724137931,0.21285218062524125,7,609.3984060406185,214.0,4,5,True,"{1: 7, 0: 9, 2: 10, 3: 11}","{(0, 1): [(9, 7)], (0, 2): [(9, 10)], (0, 3): [(7, 11), (9, 7)], (1, 2): [(7, 9), (9, 10)], (1, 3): [(7, 11)]}","{(1, 7): {'cpu': 19}, (0, 9): {'cpu': 10}, (2, 10): {'cpu': 13}, (3, 11): {'cpu': 7}}","{((0, 1), (9, 7)): {'bw': 37.0}, ((0, 2), (9, 10)): {'bw': 39.0}, ((0, 3), (7, 11)): {'bw': 18.0}, ((0, 3), (9, 7)): {'bw': 18.0}, ((1, 2), (7, 9)): {'bw': 7.0}, ((1, 2), (9, 10)): {'bw': 7.0}, ((1, 3), (7, 11)): {'bw': 24.0}}",199.0,174.0,98.0,49.0,125.0,49.0,125.0,49.0,150.0,25.0,0.8743718592964824,121270.28280208308,106035.32265106762,532.8408173420484,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,5.0,0
9,9,6,2017.0,2483.0,757369.65513911,929380.2794692172,0.8123238018525977,0.8149190077194828,14,11,1,233.0,4542.0,791,3751.0,0.3181034482758621,0.27614820532612894,8,16.17840521770298,233.0,6,8,True,"{5: 0, 4: 1, 1: 7, 2: 8, 0: 12, 3: 13}","{(0, 1): [(12, 7)], (0, 2): [(12, 8)], (0, 4): [(7, 1), (12, 7)], (0, 5): [(8, 0), (12, 8)], (1, 3): [(7, 13)], (1, 4): [(7, 1)], (2, 5): [(8, 0)], (4, 5): [(1, 6), (6, 0)]}","{(5, 0): {'cpu': 15}, (4, 1): {'cpu': 8}, (1, 7): {'cpu': 12}, (2, 8): {'cpu': 7}, (0, 12): {'cpu': 0}, (3, 13): {'cpu': 20}}","{((0, 1), (12, 7)): {'bw': 36.0}, ((0, 2), (12, 8)): {'bw': 42.0}, ((0, 4), (7, 1)): {'bw': 16.0}, ((0, 4), (12, 7)): {'bw': 16.0}, ((0, 5), (8, 0)): {'bw': 26.0}, ((0, 5), (12, 8)): {'bw': 26.0}, ((1, 3), (7, 13)): {'bw': 40.0}, ((1, 4), (7, 1)): {'bw': 16.0}, ((2, 5), (8, 0)): {'bw': 46.0}, ((4, 5), (1, 6)): {'bw': 32.0}, ((4, 5), (6, 0)): {'bw': 32.0}}",390.0,316.0,124.0,62.0,254.0,62.0,254.0,62.0,328.0,74.0,0.8102564102564103,6309.578034904162,5112.376048794142,13.108656535369594,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,6.0,8.0,0
9,9,5,2017.0,2483.0,757369.65513911,929380.2794692172,0.8123238018525977,0.8149190077194828,14,12,0,249.178405217703,4932.0,853,4079.0,0.2646551724137931,0.21285218062524125,8,16.17840521770298,233.0,6,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
10,10,6,2720.0,3930.0,820624.6606946648,1059579.4160821442,0.6921119592875318,0.7744815048681972,15,13,1,256.0,3485.0,740,2745.0,0.3620689655172413,0.470281744500193,9,89.9786707760381,256.0,9,22,True,"{3: 0, 7: 1, 4: 3, 6: 5, 1: 6, 2: 7, 8: 8, 0: 12, 5: 15}","{(0, 3): [(8, 0), (12, 8)], (0, 4): [(7, 9), (9, 3), (12, 7)], (0, 6): [(0, 6), (6, 15), (8, 0), (12, 8), (15, 5)], (0, 7): [(7, 1), (12, 7)], (0, 8): [(12, 8)], (1, 2): [(1, 7), (6, 1)], (1, 5): [(6, 15)], (1, 6): [(6, 15), (15, 5)], (1, 8): [(0, 8), (6, 0)], (2, 4): [(7, 9), (9, 3)], (2, 6): [(1, 6), (6, 15), (7, 1), (15, 5)], (2, 7): [(7, 1)], (2, 8): [(7, 12), (12, 8)], (3, 4): [(0, 8), (7, 9), (8, 12), (9, 3), (12, 7)], (3, 6): [(0, 6), (6, 15), (15, 5)], (3, 7): [(0, 6), (6, 1)], (3, 8): [(0, 8)], (5, 6): [(15, 5)], (5, 7): [(6, 1), (15, 6)], (6, 7): [(5, 15), (6, 1), (15, 6)], (6, 8): [(0, 8), (5, 15), (6, 0), (15, 6)], (7, 8): [(0, 8), (1, 6), (6, 0)]}","{(3, 0): {'cpu': 19}, (7, 1): {'cpu': 17}, (4, 3): {'cpu': 2}, (6, 5): {'cpu': 2}, (1, 6): {'cpu': 15}, (2, 7): {'cpu': 12}, (8, 8): {'cpu': 13}, (0, 12): {'cpu': 20}, (5, 15): {'cpu': 13}}","{((0, 3), (8, 0)): {'bw': 48.0}, ((0, 3), (12, 8)): {'bw': 48.0}, ((0, 4), (7, 9)): {'bw': 23.0}, ((0, 4), (9, 3)): {'bw': 23.0}, ((0, 4), (12, 7)): {'bw': 23.0}, ((0, 6), (0, 6)): {'bw': 30.0}, ((0, 6), (6, 15)): {'bw': 30.0}, ((0, 6), (8, 0)): {'bw': 30.0}, ((0, 6), (12, 8)): {'bw': 30.0}, ((0, 6), (15, 5)): {'bw': 30.0}, ((0, 7), (7, 1)): {'bw': 5.0}, ((0, 7), (12, 7)): {'bw': 5.0}, ((0, 8), (12, 8)): {'bw': 39.0}, ((1, 2), (1, 7)): {'bw': 33.0}, ((1, 2), (6, 1)): {'bw': 33.0}, ((1, 5), (6, 15)): {'bw': 49.0}, ((1, 6), (6, 15)): {'bw': 34.0}, ((1, 6), (15, 5)): {'bw': 34.0}, ((1, 8), (0, 8)): {'bw': 28.0}, ((1, 8), (6, 0)): {'bw': 28.0}, ((2, 4), (7, 9)): {'bw': 1.0}, ((2, 4), (9, 3)): {'bw': 1.0}, ((2, 6), (1, 6)): {'bw': 4.0}, ((2, 6), (6, 15)): {'bw': 4.0}, ((2, 6), (7, 1)): {'bw': 4.0}, ((2, 6), (15, 5)): {'bw': 4.0}, ((2, 7), (7, 1)): {'bw': 21.0}, ((2, 8), (7, 12)): {'bw': 8.0}, ((2, 8), (12, 8)): {'bw': 8.0}, ((3, 4), (0, 8)): {'bw': 50.0}, ((3, 4), (7, 9)): {'bw': 50.0}, ((3, 4), (8, 12)): {'bw': 50.0}, ((3, 4), (9, 3)): {'bw': 50.0}, ((3, 4), (12, 7)): {'bw': 50.0}, ((3, 6), (0, 6)): {'bw': 33.0}, ((3, 6), (6, 15)): {'bw': 33.0}, ((3, 6), (15, 5)): {'bw': 33.0}, ((3, 7), (0, 6)): {'bw': 35.0}, ((3, 7), (6, 1)): {'bw': 35.0}, ((3, 8), (0, 8)): {'bw': 48.0}, ((5, 6), (15, 5)): {'bw': 35.0}, ((5, 7), (6, 1)): {'bw': 25.0}, ((5, 7), (15, 6)): {'bw': 25.0}, ((6, 7), (5, 15)): {'bw': 5.0}, ((6, 7), (6, 1)): {'bw': 5.0}, ((6, 7), (15, 6)): {'bw': 5.0}, ((6, 8), (0, 8)): {'bw': 1.0}, ((6, 8), (5, 15)): {'bw': 1.0}, ((6, 8), (6, 0)): {'bw': 1.0}, ((6, 8), (15, 6)): {'bw': 1.0}, ((7, 8), (0, 8)): {'bw': 35.0}, ((7, 8), (1, 6)): {'bw': 35.0}, ((7, 8), (6, 0)): {'bw': 35.0}}",1447.0,703.0,226.0,113.0,590.0,113.0,590.0,113.0,1334.0,744.0,0.48583275742916376,130199.13661292713,63255.00555555479,43.71458573293351,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,22.0,0
10,10,5,2720.0,3930.0,820624.6606946648,1059579.4160821442,0.6921119592875318,0.7744815048681972,15,14,0,257.75285601976253,3896.0,824,3072.0,0.2896551724137931,0.407178695484369,4,126.75285601976255,131.0,9,10,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
11,11,6,3198.0,4817.0,1052808.8931880705,1490431.7470897818,0.6638986921320323,0.7063784673426247,15,15,1,280.0,3009.0,761,2248.0,0.34396551724137936,0.5661906599768429,10,485.7410721619365,280.0,8,14,True,"{2: 6, 0: 7, 3: 9, 5: 10, 4: 11, 6: 12, 1: 13, 7: 14}","{(0, 1): [(7, 13)], (0, 4): [(7, 11)], (0, 6): [(7, 12)], (0, 7): [(1, 14), (7, 1)], (1, 3): [(7, 9), (13, 7)], (1, 6): [(7, 12), (13, 7)], (1, 7): [(1, 14), (7, 1), (13, 7)], (2, 5): [(0, 8), (6, 0), (7, 11), (8, 12), (11, 10), (12, 7)], (2, 7): [(0, 8), (1, 14), (6, 0), (6, 1), (7, 1), (8, 12), (12, 7)], (3, 5): [(9, 10)], (3, 6): [(7, 12), (9, 7)], (3, 7): [(1, 14), (7, 1), (9, 7)], (4, 5): [(11, 10)], (5, 6): [(7, 12), (9, 7), (10, 9)]}","{(2, 6): {'cpu': 1}, (0, 7): {'cpu': 7}, (3, 9): {'cpu': 7}, (5, 10): {'cpu': 13}, (4, 11): {'cpu': 4}, (6, 12): {'cpu': 12}, (1, 13): {'cpu': 1}, (7, 14): {'cpu': 18}}","{((0, 1), (7, 13)): {'bw': 27.0}, ((0, 4), (7, 11)): {'bw': 32.0}, ((0, 6), (7, 12)): {'bw': 43.0}, ((0, 7), (1, 14)): {'bw': 19.0}, ((0, 7), (7, 1)): {'bw': 19.0}, ((1, 3), (7, 9)): {'bw': 34.0}, ((1, 3), (13, 7)): {'bw': 34.0}, ((1, 6), (7, 12)): {'bw': 45.0}, ((1, 6), (13, 7)): {'bw': 45.0}, ((1, 7), (1, 14)): {'bw': 36.0}, ((1, 7), (7, 1)): {'bw': 36.0}, ((1, 7), (13, 7)): {'bw': 36.0}, ((2, 5), (0, 8)): {'bw': 16.0}, ((2, 5), (6, 0)): {'bw': 16.0}, ((2, 5), (7, 11)): {'bw': 16.0}, ((2, 5), (8, 12)): {'bw': 16.0}, ((2, 5), (11, 10)): {'bw': 16.0}, ((2, 5), (12, 7)): {'bw': 16.0}, ((2, 7), (0, 8)): {'bw': 6.0}, ((2, 7), (1, 14)): {'bw': 48.0}, ((2, 7), (6, 0)): {'bw': 6.0}, ((2, 7), (6, 1)): {'bw': 42.0}, ((2, 7), (7, 1)): {'bw': 6.0}, ((2, 7), (8, 12)): {'bw': 6.0}, ((2, 7), (12, 7)): {'bw': 6.0}, ((3, 5), (9, 10)): {'bw': 42.0}, ((3, 6), (7, 12)): {'bw': 43.0}, ((3, 6), (9, 7)): {'bw': 43.0}, ((3, 7), (1, 14)): {'bw': 3.0}, ((3, 7), (7, 1)): {'bw': 3.0}, ((3, 7), (9, 7)): {'bw': 3.0}, ((4, 5), (11, 10)): {'bw': 8.0}, ((5, 6), (7, 12)): {'bw': 19.0}, ((5, 6), (9, 7)): {'bw': 19.0}, ((5, 6), (10, 9)): {'bw': 19.0}}",887.0,478.0,126.0,63.0,415.0,63.0,415.0,63.0,824.0,409.0,0.5388951521984217,430852.33100763767,232184.23249340564,261.7635090117313,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,8.0,14.0,0
12,11,6,3198.0,4817.0,1052808.8931880705,1490431.7470897818,0.6638986921320323,0.7063784673426247,15,16,1,311.0,3009.0,761,2248.0,0.34396551724137936,0.5661906599768429,11,430.46182229760814,311.0,10,25,False,{},{},{},{},0.0,0.0,162.0,81.0,659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0,0
12,11,5,3198.0,4817.0,1052808.8931880705,1490431.7470897818,0.6638986921320323,0.7063784673426247,15,17,0,345.9786707760381,4456.0,874,3582.0,0.24655172413793103,0.3087610961018912,9,89.9786707760381,256.0,9,22,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,0
