v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,solving_time,num_placed_nodes,num_routed_links
1,0,0,0,0,0,0,0,0,0,0,1,12.0,10585,1285,9300,0.0,0.0,0,488.1163639801385,12.0,13,32,False,"{11: 28, 2: 20, 6: 19, 12: 27}","{(2, 11): [(20, 12), (12, 28)], (6, 11): [(19, 11), (11, 5), (5, 12), (12, 28)], (12, 6): [(27, 11), (11, 19)], (12, 11): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(11, 28): {'cpu': 26}, (2, 20): {'cpu': 13}, (6, 19): {'cpu': 10}, (12, 27): {'cpu': 7}}","{((2, 11), (20, 12)): {'bw': 43}, ((2, 11), (12, 28)): {'bw': 43}, ((6, 11), (19, 11)): {'bw': 43}, ((6, 11), (11, 5)): {'bw': 43}, ((6, 11), (5, 12)): {'bw': 43}, ((6, 11), (12, 28)): {'bw': 43}, ((12, 6), (27, 11)): {'bw': 59}, ((12, 6), (11, 19)): {'bw': 59}, ((12, 11), (27, 11)): {'bw': 52}, ((12, 11), (11, 5)): {'bw': 52}, ((12, 11), (5, 12)): {'bw': 52}, ((12, 11), (12, 28)): {'bw': 52}}",0.0,0.0,410.0,205.0,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,81.0,"{'node_level': {'cpu': 5}, 'link_level': {}, 'path_level': {}}","{'node_level': {11: {'cpu': -66}, 2: {'cpu': -76}, 6: {'cpu': -77}, 12: {'cpu': -81}, 1: {'cpu': 5}}, 'link_level': {(2, 11): {'bw': -230}, (6, 11): {'bw': -207}, (12, 6): {'bw': -248}, (12, 11): {'bw': -155}}, 'path_level': {(2, 11): {}, (6, 11): {}, (12, 6): {}, (12, 11): {}}}","{'node_level': {11: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 12: {'cpu': 0}, 1: {'cpu': 5}}, 'link_level': {(2, 11): {'bw': 0}, (6, 11): {'bw': 0}, (12, 6): {'bw': 0}, (12, 11): {'bw': 0}}, 'path_level': {(2, 11): {}, (6, 11): {}, (12, 6): {}, (12, 11): {}}}",[],-81.0,0.0,False,True,False,0,[],0,0.0,9.0,0.002913236618041992,4.0,4.0
2,0,0,0,0,0,0,0,0,0,1,1,26.0,10585,1285,9300,0.0,0.0,1,168.62474273572116,26.0,13,43,False,"{4: 28, 7: 20, 1: 19, 2: 27}","{(7, 4): [(20, 12), (12, 28)], (1, 4): [(19, 11), (11, 5), (5, 12), (12, 28)], (1, 7): [(19, 11), (11, 5), (5, 12), (12, 20)], (2, 1): [(27, 11), (11, 19)], (2, 4): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(4, 28): {'cpu': 29}, (7, 20): {'cpu': 25}, (1, 19): {'cpu': 22}, (2, 27): {'cpu': 25}}","{((7, 4), (20, 12)): {'bw': 60}, ((7, 4), (12, 28)): {'bw': 60}, ((1, 4), (19, 11)): {'bw': 59}, ((1, 4), (11, 5)): {'bw': 59}, ((1, 4), (5, 12)): {'bw': 59}, ((1, 4), (12, 28)): {'bw': 59}, ((1, 7), (19, 11)): {'bw': 69}, ((1, 7), (11, 5)): {'bw': 69}, ((1, 7), (5, 12)): {'bw': 69}, ((1, 7), (12, 20)): {'bw': 69}, ((2, 1), (27, 11)): {'bw': 47}, ((2, 1), (11, 19)): {'bw': 47}, ((2, 4), (27, 11)): {'bw': 46}, ((2, 4), (11, 5)): {'bw': 46}, ((2, 4), (5, 12)): {'bw': 46}, ((2, 4), (12, 28)): {'bw': 46}}",0.0,0.0,468.0,234.0,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,168.0,"{'node_level': {'cpu': 10}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -63}, 7: {'cpu': -64}, 1: {'cpu': -65}, 2: {'cpu': -63}, 3: {'cpu': 10}}, 'link_level': {(7, 4): {'bw': -213}, (1, 4): {'bw': -191}, (1, 7): {'bw': -122}, (2, 1): {'bw': -175}, (2, 4): {'bw': -76}}, 'path_level': {(7, 4): {}, (1, 4): {}, (1, 7): {}, (2, 1): {}, (2, 4): {}}}","{'node_level': {4: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 10}}, 'link_level': {(7, 4): {'bw': 0}, (1, 4): {'bw': 0}, (1, 7): {'bw': 0}, (2, 1): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(7, 4): {}, (1, 4): {}, (1, 7): {}, (2, 1): {}, (2, 4): {}}}",[],-63.0,0.0,False,True,False,0,[],0,0.0,9.0,0.001043081283569336,4.0,5.0
3,0,0,0,0,0,0,0,0,0,2,1,40.0,10585,1285,9300,0.0,0.0,2,837.7406401933645,40.0,11,29,False,"{6: 28, 9: 20, 10: 19, 1: 27}","{(9, 6): [(20, 12), (12, 28)], (10, 6): [(19, 11), (11, 5), (5, 12), (12, 28)], (10, 9): [(19, 11), (11, 5), (5, 12), (12, 20)], (1, 6): [(27, 11), (11, 5), (5, 12), (12, 28)], (1, 9): [(27, 11), (11, 5), (5, 12), (12, 20)]}","{(6, 28): {'cpu': 25}, (9, 20): {'cpu': 14}, (10, 19): {'cpu': 25}, (1, 27): {'cpu': 23}}","{((9, 6), (20, 12)): {'bw': 37}, ((9, 6), (12, 28)): {'bw': 37}, ((10, 6), (19, 11)): {'bw': 45}, ((10, 6), (11, 5)): {'bw': 45}, ((10, 6), (5, 12)): {'bw': 45}, ((10, 6), (12, 28)): {'bw': 45}, ((10, 9), (19, 11)): {'bw': 23}, ((10, 9), (11, 5)): {'bw': 23}, ((10, 9), (5, 12)): {'bw': 23}, ((10, 9), (12, 20)): {'bw': 23}, ((1, 6), (27, 11)): {'bw': 10}, ((1, 6), (11, 5)): {'bw': 10}, ((1, 6), (5, 12)): {'bw': 10}, ((1, 6), (12, 28)): {'bw': 10}, ((1, 9), (27, 11)): {'bw': 54}, ((1, 9), (11, 5)): {'bw': 54}, ((1, 9), (5, 12)): {'bw': 54}, ((1, 9), (12, 20)): {'bw': 54}}",0.0,0.0,336.0,168.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,149.0,"{'node_level': {'cpu': 7}, 'link_level': {}, 'path_level': {}}","{'node_level': {6: {'cpu': -67}, 9: {'cpu': -75}, 10: {'cpu': -62}, 1: {'cpu': -65}, 2: {'cpu': 7}}, 'link_level': {(9, 6): {'bw': -236}, (10, 6): {'bw': -205}, (10, 9): {'bw': -182}, (1, 6): {'bw': -172}, (1, 9): {'bw': -118}}, 'path_level': {(9, 6): {}, (10, 6): {}, (10, 9): {}, (1, 6): {}, (1, 9): {}}}","{'node_level': {6: {'cpu': 0}, 9: {'cpu': 0}, 10: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 7}}, 'link_level': {(9, 6): {'bw': 0}, (10, 6): {'bw': 0}, (10, 9): {'bw': 0}, (1, 6): {'bw': 0}, (1, 9): {'bw': 0}}, 'path_level': {(9, 6): {}, (10, 6): {}, (10, 9): {}, (1, 6): {}, (1, 9): {}}}",[],-65.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0009112358093261719,4.0,5.0
4,0,0,0,0,0,0,0,0,0,3,1,50.0,10585,1285,9300,0.0,0.0,3,394.6888711818872,50.0,7,15,False,"{2: 28, 1: 20, 6: 19, 5: 27}","{(1, 2): [(20, 12), (12, 28)], (6, 2): [(19, 11), (11, 5), (5, 12), (12, 28)], (5, 1): [(27, 11), (11, 5), (5, 12), (12, 20)], (5, 2): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(2, 28): {'cpu': 18}, (1, 20): {'cpu': 26}, (6, 19): {'cpu': 18}, (5, 27): {'cpu': 12}}","{((1, 2), (20, 12)): {'bw': 33}, ((1, 2), (12, 28)): {'bw': 33}, ((6, 2), (19, 11)): {'bw': 34}, ((6, 2), (11, 5)): {'bw': 34}, ((6, 2), (5, 12)): {'bw': 34}, ((6, 2), (12, 28)): {'bw': 34}, ((5, 1), (27, 11)): {'bw': 30}, ((5, 1), (11, 5)): {'bw': 30}, ((5, 1), (5, 12)): {'bw': 30}, ((5, 1), (12, 20)): {'bw': 30}, ((5, 2), (27, 11)): {'bw': 65}, ((5, 2), (11, 5)): {'bw': 65}, ((5, 2), (5, 12)): {'bw': 65}, ((5, 2), (12, 28)): {'bw': 65}}",0.0,0.0,182.0,91.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,145.0,"{'node_level': {'cpu': 7}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -74}, 1: {'cpu': -63}, 6: {'cpu': -69}, 5: {'cpu': -76}, 0: {'cpu': 7}}, 'link_level': {(1, 2): {'bw': -240}, (6, 2): {'bw': -216}, (5, 1): {'bw': -186}, (5, 2): {'bw': -121}}, 'path_level': {(1, 2): {}, (6, 2): {}, (5, 1): {}, (5, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 7}}, 'link_level': {(1, 2): {'bw': 0}, (6, 2): {'bw': 0}, (5, 1): {'bw': 0}, (5, 2): {'bw': 0}}, 'path_level': {(1, 2): {}, (6, 2): {}, (5, 1): {}, (5, 2): {}}}",[],-76.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0007970333099365234,4.0,4.0
5,0,0,0,0,0,0,0,0,0,4,1,62.0,10585,1285,9300,0.0,0.0,4,9.219494684323037,62.0,13,34,False,"{11: 28, 2: 20, 9: 19, 1: 27}","{(2, 11): [(20, 12), (12, 28)], (9, 11): [(19, 11), (11, 5), (5, 12), (12, 28)], (1, 9): [(27, 11), (11, 19)], (1, 11): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(11, 28): {'cpu': 26}, (2, 20): {'cpu': 24}, (9, 19): {'cpu': 14}, (1, 27): {'cpu': 16}}","{((2, 11), (20, 12)): {'bw': 66}, ((2, 11), (12, 28)): {'bw': 66}, ((9, 11), (19, 11)): {'bw': 28}, ((9, 11), (11, 5)): {'bw': 28}, ((9, 11), (5, 12)): {'bw': 28}, ((9, 11), (12, 28)): {'bw': 28}, ((1, 9), (27, 11)): {'bw': 47}, ((1, 9), (11, 19)): {'bw': 47}, ((1, 11), (27, 11)): {'bw': 16}, ((1, 11), (11, 5)): {'bw': 16}, ((1, 11), (5, 12)): {'bw': 16}, ((1, 11), (12, 28)): {'bw': 16}}",0.0,0.0,512.0,256.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,158.0,"{'node_level': {'cpu': 18}, 'link_level': {}, 'path_level': {}}","{'node_level': {11: {'cpu': -66}, 2: {'cpu': -65}, 9: {'cpu': -73}, 1: {'cpu': -72}, 4: {'cpu': 18}}, 'link_level': {(2, 11): {'bw': -207}, (9, 11): {'bw': -222}, (1, 9): {'bw': -270}, (1, 11): {'bw': -206}}, 'path_level': {(2, 11): {}, (9, 11): {}, (1, 9): {}, (1, 11): {}}}","{'node_level': {11: {'cpu': 0}, 2: {'cpu': 0}, 9: {'cpu': 0}, 1: {'cpu': 0}, 4: {'cpu': 18}}, 'link_level': {(2, 11): {'bw': 0}, (9, 11): {'bw': 0}, (1, 9): {'bw': 0}, (1, 11): {'bw': 0}}, 'path_level': {(2, 11): {}, (9, 11): {}, (1, 9): {}, (1, 11): {}}}",[],-72.0,0.0,False,True,False,0,[],0,0.0,9.0,0.000881195068359375,4.0,4.0
5,0,0,0,0,0,0,0,0,0,5,0,71.21949468432304,10585,1285,9300,0.0,0.0,4,9.219494684323037,62.0,13,34,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
6,0,0,0,0,0,0,0,0,0,6,1,74.0,10585,1285,9300,0.0,0.0,5,8.120722555973291,74.0,12,31,False,"{7: 28, 6: 20, 10: 19, 9: 27}","{(6, 7): [(20, 12), (12, 28)], (10, 7): [(19, 11), (11, 5), (5, 12), (12, 28)], (9, 7): [(27, 11), (11, 5), (5, 12), (12, 28)], (9, 10): [(27, 11), (11, 19)]}","{(7, 28): {'cpu': 15}, (6, 20): {'cpu': 30}, (10, 19): {'cpu': 19}, (9, 27): {'cpu': 13}}","{((6, 7), (20, 12)): {'bw': 56}, ((6, 7), (12, 28)): {'bw': 56}, ((10, 7), (19, 11)): {'bw': 57}, ((10, 7), (11, 5)): {'bw': 57}, ((10, 7), (5, 12)): {'bw': 57}, ((10, 7), (12, 28)): {'bw': 57}, ((9, 7), (27, 11)): {'bw': 33}, ((9, 7), (11, 5)): {'bw': 33}, ((9, 7), (5, 12)): {'bw': 33}, ((9, 7), (12, 28)): {'bw': 33}, ((9, 10), (27, 11)): {'bw': 53}, ((9, 10), (11, 19)): {'bw': 53}}",0.0,0.0,488.0,244.0,1391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,199.0,"{'node_level': {'cpu': 21}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -77}, 6: {'cpu': -59}, 10: {'cpu': -68}, 9: {'cpu': -75}, 11: {'cpu': 21}}, 'link_level': {(6, 7): {'bw': -217}, (10, 7): {'bw': -193}, (9, 7): {'bw': -160}, (9, 10): {'bw': -231}}, 'path_level': {(6, 7): {}, (10, 7): {}, (9, 7): {}, (9, 10): {}}}","{'node_level': {7: {'cpu': 0}, 6: {'cpu': 0}, 10: {'cpu': 0}, 9: {'cpu': 0}, 11: {'cpu': 21}}, 'link_level': {(6, 7): {'bw': 0}, (10, 7): {'bw': 0}, (9, 7): {'bw': 0}, (9, 10): {'bw': 0}}, 'path_level': {(6, 7): {}, (10, 7): {}, (9, 7): {}, (9, 10): {}}}",[],-75.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0010039806365966797,4.0,4.0
6,0,0,0,0,0,0,0,0,0,7,0,82.12072255597329,10585,1285,9300,0.0,0.0,5,8.120722555973291,74.0,12,31,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,,
7,0,0,0,0,0,0,0,0,0,8,1,83.0,10585,1285,9300,0.0,0.0,6,1366.9589307215756,83.0,7,8,False,"{5: 28, 0: 20, 1: 19, 2: 27}","{(0, 5): [(20, 12), (12, 28)], (1, 0): [(19, 11), (11, 5), (5, 12), (12, 20)], (1, 5): [(19, 11), (11, 5), (5, 12), (12, 28)], (2, 5): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(5, 28): {'cpu': 24}, (0, 20): {'cpu': 22}, (1, 19): {'cpu': 15}, (2, 27): {'cpu': 22}}","{((0, 5), (20, 12)): {'bw': 44}, ((0, 5), (12, 28)): {'bw': 44}, ((1, 0), (19, 11)): {'bw': 19}, ((1, 0), (11, 5)): {'bw': 19}, ((1, 0), (5, 12)): {'bw': 19}, ((1, 0), (12, 20)): {'bw': 19}, ((1, 5), (19, 11)): {'bw': 19}, ((1, 5), (11, 5)): {'bw': 19}, ((1, 5), (5, 12)): {'bw': 19}, ((1, 5), (12, 28)): {'bw': 19}, ((2, 5), (27, 11)): {'bw': 40}, ((2, 5), (11, 5)): {'bw': 40}, ((2, 5), (5, 12)): {'bw': 40}, ((2, 5), (12, 28)): {'bw': 40}}",0.0,0.0,286.0,143.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,164.0,"{'node_level': {'cpu': 20}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -68}, 0: {'cpu': -67}, 1: {'cpu': -72}, 2: {'cpu': -66}, 3: {'cpu': 20}}, 'link_level': {(0, 5): {'bw': -229}, (1, 0): {'bw': -210}, (1, 5): {'bw': -212}, (2, 5): {'bw': -172}}, 'path_level': {(0, 5): {}, (1, 0): {}, (1, 5): {}, (2, 5): {}}}","{'node_level': {5: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 20}}, 'link_level': {(0, 5): {'bw': 0}, (1, 0): {'bw': 0}, (1, 5): {'bw': 0}, (2, 5): {'bw': 0}}, 'path_level': {(0, 5): {}, (1, 0): {}, (1, 5): {}, (2, 5): {}}}",[],-66.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0007810592651367188,4.0,4.0
8,0,0,0,0,0,0,0,0,0,9,1,98.0,10585,1285,9300,0.0,0.0,7,247.62845728030277,98.0,6,12,False,"{2: 28, 0: 20, 3: 19, 4: 27}","{(0, 2): [(20, 12), (12, 28)], (3, 0): [(19, 11), (11, 5), (5, 12), (12, 20)], (3, 2): [(19, 11), (11, 5), (5, 12), (12, 28)], (4, 0): [(27, 11), (11, 5), (5, 12), (12, 20)], (4, 2): [(27, 11), (11, 5), (5, 12), (12, 28)], (4, 3): [(27, 11), (11, 19)]}","{(2, 28): {'cpu': 26}, (0, 20): {'cpu': 28}, (3, 19): {'cpu': 17}, (4, 27): {'cpu': 11}}","{((0, 2), (20, 12)): {'bw': 53}, ((0, 2), (12, 28)): {'bw': 53}, ((3, 0), (19, 11)): {'bw': 31}, ((3, 0), (11, 5)): {'bw': 31}, ((3, 0), (5, 12)): {'bw': 31}, ((3, 0), (12, 20)): {'bw': 31}, ((3, 2), (19, 11)): {'bw': 27}, ((3, 2), (11, 5)): {'bw': 27}, ((3, 2), (5, 12)): {'bw': 27}, ((3, 2), (12, 28)): {'bw': 27}, ((4, 0), (27, 11)): {'bw': 13}, ((4, 0), (11, 5)): {'bw': 13}, ((4, 0), (5, 12)): {'bw': 13}, ((4, 0), (12, 20)): {'bw': 13}, ((4, 2), (27, 11)): {'bw': 34}, ((4, 2), (11, 5)): {'bw': 34}, ((4, 2), (5, 12)): {'bw': 34}, ((4, 2), (12, 28)): {'bw': 34}, ((4, 3), (27, 11)): {'bw': 48}, ((4, 3), (11, 19)): {'bw': 48}}",0.0,0.0,208.0,104.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,157.0,"{'node_level': {'cpu': 11}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -66}, 0: {'cpu': -61}, 3: {'cpu': -70}, 4: {'cpu': -77}, 5: {'cpu': 11}}, 'link_level': {(0, 2): {'bw': -220}, (3, 0): {'bw': -189}, (3, 2): {'bw': -192}, (4, 0): {'bw': -176}, (4, 2): {'bw': -145}, (4, 3): {'bw': -222}}, 'path_level': {(0, 2): {}, (3, 0): {}, (3, 2): {}, (4, 0): {}, (4, 2): {}, (4, 3): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 11}}, 'link_level': {(0, 2): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 2): {'bw': 0}, (4, 3): {'bw': 0}}, 'path_level': {(0, 2): {}, (3, 0): {}, (3, 2): {}, (4, 0): {}, (4, 2): {}, (4, 3): {}}}",[],-77.0,0.0,False,True,False,0,[],0,0.0,9.0,0.0008478164672851562,4.0,6.0
9,0,0,0,0,0,0,0,0,0,10,1,108.0,10585,1285,9300,0.0,0.0,8,1207.6278746761773,108.0,10,20,False,"{5: 28, 0: 20, 1: 19, 8: 27}","{(0, 5): [(20, 12), (12, 28)], (1, 0): [(19, 11), (11, 5), (5, 12), (12, 20)], (1, 5): [(19, 11), (11, 5), (5, 12), (12, 28)], (8, 0): [(27, 11), (11, 5), (5, 12), (12, 20)], (8, 1): [(27, 11), (11, 19)], (8, 5): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(5, 28): {'cpu': 20}, (0, 20): {'cpu': 12}, (1, 19): {'cpu': 7}, (8, 27): {'cpu': 8}}","{((0, 5), (20, 12)): {'bw': 27}, ((0, 5), (12, 28)): {'bw': 27}, ((1, 0), (19, 11)): {'bw': 47}, ((1, 0), (11, 5)): {'bw': 47}, ((1, 0), (5, 12)): {'bw': 47}, ((1, 0), (12, 20)): {'bw': 47}, ((1, 5), (19, 11)): {'bw': 55}, ((1, 5), (11, 5)): {'bw': 55}, ((1, 5), (5, 12)): {'bw': 55}, ((1, 5), (12, 28)): {'bw': 55}, ((8, 0), (27, 11)): {'bw': 70}, ((8, 0), (11, 5)): {'bw': 70}, ((8, 0), (5, 12)): {'bw': 70}, ((8, 0), (12, 20)): {'bw': 70}, ((8, 1), (27, 11)): {'bw': 39}, ((8, 1), (11, 19)): {'bw': 39}, ((8, 5), (27, 11)): {'bw': 16}, ((8, 5), (11, 5)): {'bw': 16}, ((8, 5), (5, 12)): {'bw': 16}, ((8, 5), (12, 28)): {'bw': 16}}",0.0,0.0,298.0,149.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,85.0,"{'node_level': {'cpu': 11}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -72}, 0: {'cpu': -77}, 1: {'cpu': -80}, 8: {'cpu': -80}, 7: {'cpu': 11}}, 'link_level': {(0, 5): {'bw': -246}, (1, 0): {'bw': -199}, (1, 5): {'bw': -148}, (8, 0): {'bw': -78}, (8, 1): {'bw': -208}, (8, 5): {'bw': -62}}, 'path_level': {(0, 5): {}, (1, 0): {}, (1, 5): {}, (8, 0): {}, (8, 1): {}, (8, 5): {}}}","{'node_level': {5: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 11}}, 'link_level': {(0, 5): {'bw': 0}, (1, 0): {'bw': 0}, (1, 5): {'bw': 0}, (8, 0): {'bw': 0}, (8, 1): {'bw': 0}, (8, 5): {'bw': 0}}, 'path_level': {(0, 5): {}, (1, 0): {}, (1, 5): {}, (8, 0): {}, (8, 1): {}, (8, 5): {}}}",[],-62.0,0.0,False,True,False,0,[],0,0.0,9.0,0.000865936279296875,4.0,6.0
10,0,0,0,0,0,0,0,0,0,11,1,117.0,10585,1285,9300,0.0,0.0,9,855.9163303747499,117.0,15,58,False,"{7: 28, 0: 20, 8: 19, 11: 27}","{(0, 7): [(20, 12), (12, 28)], (8, 7): [(19, 11), (11, 5), (5, 12), (12, 28)], (11, 0): [(27, 11), (11, 5), (5, 12), (12, 20)], (11, 7): [(27, 11), (11, 5), (5, 12), (12, 28)]}","{(7, 28): {'cpu': 24}, (0, 20): {'cpu': 30}, (8, 19): {'cpu': 30}, (11, 27): {'cpu': 30}}","{((0, 7), (20, 12)): {'bw': 41}, ((0, 7), (12, 28)): {'bw': 41}, ((8, 7), (19, 11)): {'bw': 27}, ((8, 7), (11, 5)): {'bw': 27}, ((8, 7), (5, 12)): {'bw': 27}, ((8, 7), (12, 28)): {'bw': 27}, ((11, 0), (27, 11)): {'bw': 43}, ((11, 0), (11, 5)): {'bw': 43}, ((11, 0), (5, 12)): {'bw': 43}, ((11, 0), (12, 20)): {'bw': 43}, ((11, 7), (27, 11)): {'bw': 10}, ((11, 7), (11, 5)): {'bw': 10}, ((11, 7), (5, 12)): {'bw': 10}, ((11, 7), (12, 28)): {'bw': 10}}",0.0,0.0,548.0,274.0,2259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Place Failure,228.0,"{'node_level': {'cpu': 16}, 'link_level': {}, 'path_level': {}}","{'node_level': {7: {'cpu': -68}, 0: {'cpu': -59}, 8: {'cpu': -57}, 11: {'cpu': -58}, 14: {'cpu': 16}}, 'link_level': {(0, 7): {'bw': -232}, (8, 7): {'bw': -223}, (11, 0): {'bw': -180}, (11, 7): {'bw': -170}}, 'path_level': {(0, 7): {}, (8, 7): {}, (11, 0): {}, (11, 7): {}}}","{'node_level': {7: {'cpu': 0}, 0: {'cpu': 0}, 8: {'cpu': 0}, 11: {'cpu': 0}, 14: {'cpu': 16}}, 'link_level': {(0, 7): {'bw': 0}, (8, 7): {'bw': 0}, (11, 0): {'bw': 0}, (11, 7): {'bw': 0}}, 'path_level': {(0, 7): {}, (8, 7): {}, (11, 0): {}, (11, 7): {}}}",[],-58.0,0.0,False,True,False,0,[],0,0.0,9.0,0.000949859619140625,4.0,4.0
